agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|2m|1|LICEO POLITECNICO ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Bajo|Urbano|72.69903644702875|69.76938195835|65.95010189521528|74.43373498884695
2017|2m|4|LICEO OCTAVIO PALMA PEREZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|71.81714602456205|72.46839663450848|68.34146489637756|74.12730908955048
2017|2m|5|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|75.49781989253026|75.86576675153148|60.84588928964854|76.74558573530301
2017|2m|7|L. POLI. ANTONIO VARAS DE LA BARRA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Bajo|Urbano|68.98657206742986|72.91717765750198|65.83591744482304|74.82606214214535
2017|2m|8|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|77.24264314615094|73.80627072396077|65.75210447416666|76.89759463377291
2017|2m|15|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|66.70724857476675|74.46140499806337|73.31081717221774|81.37992052433998
2017|2m|25|COLEGIO CENTENARIO DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|76.68667211955106|74.22583356021899|63.0322884003715|79.09936355119706
2017|2m|32|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Bajo|Rural|74.76503516423475|71.41031435543859|71.46050794350141|76.44375428567585
2017|2m|45|COLEGIO ITALIANO SANTA ANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Medio|Urbano|76.55429886568008|78.66058331334514|72.16975588206087|80.70677967671196
2017|2m|50|COLEGIO ADVENTISTA DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Medio|Urbano|77.13283010364982|82.35781801798721|79.99731265664897|79.97046842459619
2017|2m|52|LICEO DOMINGO SANTA MARIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Medio bajo|Urbano|74.95765976507404|76.19691237475388|64.47537763714496|74.99719410280429
