agno;rbd;ind;prom;dif;sigdif;difgru;sigdifgru;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;nom_deprov_rbd;cod_depe2;cod_grupo;cod_rural_rbd;codigo_bdd;fecha_bbdd;grado
2024;1;AM;74;0;0;0;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;preliminar20240422v1;20250422;2m
2024;1;CC;75;3;0;0;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;preliminar20240422v1;20250422;2m
2024;1;HV;74;0;0;2;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;preliminar20240422v1;20250422;2m
2024;1;PF;79;3;0;3;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;preliminar20240422v1;20250422;2m
2024;4;AM;74;-2;0;1;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;preliminar20240422v1;20250422;2m
2024;4;CC;74;0;0;-1;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;preliminar20240422v1;20250422;2m
2024;4;HV;70;0;0;1;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;preliminar20240422v1;20250422;2m
2024;4;PF;75;-2;0;-1;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;preliminar20240422v1;20250422;2m
2024;5;AM;71;-4;0;-3;0;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;preliminar20240422v1;20250422;2m
2024;5;CC;73;-1;0;-2;0;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;preliminar20240422v1;20250422;2m
