"rbd";"agno";"nivel";"grado";"ind";"dim";"sdim";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"fecha_bbdd";"codigo_bdd"
5;2023;MEDIA;2;PF;VD;RD;14;50;36;;;;20240528;final20240528v1
5;2023;MEDIA;2;CC;AS;TV;79;;21;;;;20240528;final20240528v1
7;2023;MEDIA;2;AM;AA;AA;39;33;28;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AR;AB;29;52;19;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;AC;AC;15;59;26;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;VA;AF;30;38;32;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;HA;AL;18;52;30;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AO;AO;79;20;1;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AR;CS;44;45;12;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;VD;EP;61;20;19;;;;20240528;final20240528v1
7;2023;MEDIA;2;AM;ME;ID;38;51;12;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;SP;IE;40;45;15;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AS;MP;32;49;20;;;;20240528;final20240528v1
7;2023;MEDIA;2;AM;AA;PA;17;49;35;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;AC;PC;18;;82;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;VD;PD;61;19;20;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;PA;PE;87;5;9;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;HA;PH;51;;49;;;;20240528;final20240528v1
7;2023;MEDIA;2;AM;ME;PM;74;;26;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;PA;PP;71;12;17;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AO;PR;69;;31;;;;20240528;final20240528v1
7;2023;MEDIA;2;HV;VA;PV;43;;57;;;;20240528;final20240528v1
7;2023;MEDIA;2;PF;VD;RD;32;40;28;;;;20240528;final20240528v1
7;2023;MEDIA;2;CC;AS;TV;77;;23;;;;20240528;final20240528v1
8;2023;MEDIA;2;AM;AA;AA;28;31;41;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AR;AB;34;50;16;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;AC;AC;10;68;23;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;VA;AF;19;55;26;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;HA;AL;13;63;25;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AO;AO;75;25;0;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AR;CS;19;63;19;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;VD;EP;59;22;19;;;;20240528;final20240528v1
8;2023;MEDIA;2;AM;ME;ID;31;59;9;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;SP;IE;25;59;16;;;;20240528;final20240528v1
8;2023;MEDIA;2;CC;AS;MP;16;63;22;;;;20240528;final20240528v1
8;2023;MEDIA;2;AM;AA;PA;19;47;34;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;AC;PC;42;;58;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;VD;PD;53;25;22;;;;20240528;final20240528v1
8;2023;MEDIA;2;PF;PA;PE;75;13;13;;;;20240528;final20240528v1
8;2023;MEDIA;2;HV;HA;PH;59;;41;;;;20240528;final20240528v1
