rbd|agno|grado|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
4076|2019|8b|ESCUELA BASICA MINAS DE LEUQUE|16|DE ÑUBLE|162|Itata|16207|TREGUACO|Diguillín|1|1|2|75.340667765|81.905641125|69.749529298|88.953712633
4085|2019|8b|ESCUELA BASICA EL TOLLO|16|DE ÑUBLE|162|Itata|16202|COBQUECURA|Diguillín|1|2|2|77.193225782|79.528469115|80.846060361|75.1709916
4087|2019|8b|ESCUELA BASICA BUCHUPUREO|16|DE ÑUBLE|162|Itata|16202|COBQUECURA|Diguillín|1|2|1|75.66306827|77.631424319|75.419631423|82.274041049
4090|2019|8b|ESCUELA BASICA COLMUYAO|16|DE ÑUBLE|162|Itata|16202|COBQUECURA|Diguillín|1|1|2|79.194333378|91.742704244|84.749598142|95.14039406
4094|2019|8b|ESCUELA BASICA TAUCU|16|DE ÑUBLE|162|Itata|16202|COBQUECURA|Diguillín|1|1|2|70.944772652|80.450210431|73.45410591|83.934913159
4103|2019|8b|ESCUELA GRUMETE CORTES|16|DE ÑUBLE|162|Itata|16201|QUIRIHUE|Diguillín|1|2|1|85.735321358|85.877590316|80.927301132|89.891294307
4104|2019|8b|ESCUELA NUEVA AMERICA|16|DE ÑUBLE|162|Itata|16201|QUIRIHUE|Diguillín|1|2|1|70.03640573|72.621019212|68.814167986|76.947285721
4107|2019|8b|ESCUELA BASICA SANTA CAROLINA|16|DE ÑUBLE|162|Itata|16201|QUIRIHUE|Diguillín|1||2|75.150453496|83.581042967|85.447892969|84.954274765
4112|2019|8b|ESCUELA BASICA SANTA ELENA|16|DE ÑUBLE|162|Itata|16201|QUIRIHUE|Diguillín|1|1|2|73.387258431|72.404895347|64.358849479|61.285582421
4125|2019|8b|ESCUELA ROSARIO CHACON BARRIOS|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1|1|2|86.982092422|86.190583673|82.489111575|85.915507946
4128|2019|8b|ESCUELA BASICA DE RELOCA|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1|1|2|87.908902243|90.611697899|91.455783757|93.288915821
4130|2019|8b|ESCUELA BASICA EL RINCON|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1|1|2|82.329755604|83.463522968|81.905884948|90.816531172
4131|2019|8b|ESCUELA DOCTOR DAVID BENAVENTE SEPÚLVEDA|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1||2|79.832522222|88.66988286|78.33155444|93.059215628
4133|2019|8b|ESCUELA ALIPIA ACEVEDO|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1|2|2|73.235262298|84.079413994|76.297597067|86.46831033
4134|2019|8b|ESCUELA BASICA TALHUAN|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|1|1|2|94.238357129|97.066040638|90.102190678|99.131271984
4139|2019|8b|ESCUELA PARTICULAR ADVENTISTA QUIRAO|16|DE ÑUBLE|162|Itata|16204|NINHUE|Diguillín|2|1|2|82.337813327|88.374532894|82.571671689|90.374511432
4140|2019|8b|LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLÁS|16|DE ÑUBLE|163|Punilla|16305|SAN NICOLÁS|Diguillín|1|3|1|78.271835951|79.995664684|73.21099019|83.672354676
4141|2019|8b|LICEO TÉCNICO PUENTE ÑUBLE|16|DE ÑUBLE|163|Punilla|16305|SAN NICOLÁS|Diguillín|1|2|2|92.310479648|90.289346133|88.552654808|92.829504286
4142|2019|8b|ESCUELA LA MERCED|16|DE ÑUBLE|163|Punilla|16301|SAN CARLOS|Diguillín|1|1|2|80.330243154|80.62206535|78.776071819|85.82353177
4160|2019|8b|LICEO COMERCIAL CAMILO HENRIQUEZ|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|2|2|1|80.893134425|84.893462003|74.18515466|82.04048494
4163|2019|8b|LICEO LOS ÁNGELES A-59|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|3|1|75.821832327|72.705055968|72.669981501|79.388914645
4164|2019|8b|LICEO COEDUCACIONAL SANTA MARÍA DE LOS ÁNGELES|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|3|1|79.984160782|83.568936667|76.337203296|86.42272728
4168|2019|8b|ESCUELA GENERAL BERNARDO O HIGGINS|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|74.750013888|75.628283732|68.191458826|74.730885206
4169|2019|8b|ESCUELA ESPANA|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|3|1|75.226726945|74.576566668|71.688222135|73.800195813
4171|2019|8b|ESCUELA COLONIA ARABE|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|75.744450827|76.185026315|72.080038917|75.000702013
4172|2019|8b|ESCUELA GENERAL JOSE DE SAN MARTIN|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|78.096851969|78.299380071|75.523688373|80.324874699
4173|2019|8b|ESCUELA BLANCO ENCALADA|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|77.923812461|80.537261131|72.321587117|80.161000199
4174|2019|8b|ESCUELA HOGAR NIEVES VASQUEZ PALACIOS|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|74.742394437|76.447243839|76.941903589|77.845170014
4175|2019|8b|ESCUELA THOMAS JEFFERSON|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|75.721262906|74.968722552|76.227996701|79.775065225
4176|2019|8b|ESCUELA JOSE MANSO DE VELASCO|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|78.252108459|80.856023569|74.849997381|78.522327132
4177|2019|8b|ESCUELA CLARA REBOLLEDO DE GODOY|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|1|1|77.406429561|84.249146127|80.787319188|87.170982033
4179|2019|8b|ESCUELA PEDRO RUIZ ALDEA|8|DEL BIOBÍO|83|BIOBÍO|8301|LOS ÁNGELES|Bio Bio|1|2|1|80.194076365|80.443688804|77.406938334|83.646166801
