agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,6b,5,75,73,68,77
2016,6b,8,75,68,66,71
2016,6b,9,81,78,74,82
2016,6b,10,68,86,62,99
2016,6b,11,75,71,71,78
2016,6b,12,77,83,65,86
2016,6b,13,79,76,69,83
2016,6b,14,84,72,65,77
2016,6b,15,69,77,73,79
2016,6b,16,74,69,64,73
2016,6b,17,75,80,78,81
2016,6b,18,72,74,62,79
2016,6b,19,74,77,64,79
2016,6b,20,75,70,65,79
2016,6b,22,74,72,68,80
2016,6b,25,77,73,65,81
2016,6b,26,70,76,69,75
2016,6b,27,72,76,67,81
2016,6b,28,74,82,70,83
2016,6b,29,77,75,67,80
2016,6b,31,78,78,70,80
2016,6b,32,78,74,72,80
2016,6b,33,75,85,70,81
2016,6b,35,76,78,69,79
2016,6b,36,74,77,68,81
2016,6b,38,71,74,62,77
2016,6b,39,81,79,66,71
2016,6b,41,70,87,69,79
2016,6b,42,71,88,74,80
2016,6b,45,73,80,74,78
2016,6b,50,73,81,75,77
2016,6b,51,65,69,48,43
2016,6b,52,75,75,65,79
2016,6b,56,75,76,69,76
2016,6b,59,76,77,73,79
2016,6b,60,69,71,63,67
2016,6b,67,71,78,67,75
2016,6b,69,77,78,73,84
2016,6b,70,92,,87,
2016,6b,72,70,,56,
2016,6b,74,62,65,74,56
2016,6b,78,69,70,67,73
2016,6b,79,96,98,77,94
2016,6b,81,72,,75,
2016,6b,82,,,62,
2016,6b,83,89,87,92,91
2016,6b,90,74,66,64,79
2016,6b,93,86,,73,
2016,6b,103,70,75,65,74
2016,6b,110,67,66,58,66
2016,6b,111,75,78,66,82
2016,6b,112,73,79,70,83
2016,6b,113,74,70,61,78
2016,6b,114,73,66,66,71
2016,6b,116,73,77,69,81
2016,6b,117,76,82,69,83
2016,6b,119,75,76,67,81
2016,6b,122,72,69,64,76
2016,6b,123,69,74,65,79
2016,6b,125,73,68,62,74
2016,6b,126,69,72,65,75
2016,6b,127,75,82,76,81
2016,6b,129,80,80,57,80
2016,6b,130,70,70,63,67
2016,6b,131,72,75,70,81
2016,6b,132,74,75,69,76
2016,6b,133,84,87,80,90
2016,6b,134,66,65,57,67
2016,6b,144,72,76,64,79
2016,6b,154,67,87,87,97
2016,6b,156,78,71,67,81
2016,6b,158,76,97,68,
2016,6b,160,92,88,76,97
2016,6b,161,75,71,69,78
2016,6b,162,86,85,80,93
2016,6b,167,81,88,68,86
2016,6b,168,55,89,79,70
2016,6b,169,70,,76,
2016,6b,170,96,85,99,99
2016,6b,172,86,94,89,91
2016,6b,173,82,94,81,92
2016,6b,174,66,90,71,77
2016,6b,177,77,65,66,83
2016,6b,178,64,62,58,64
2016,6b,185,70,88,55,81
2016,6b,186,86,,66,96
2016,6b,187,74,72,70,78
2016,6b,188,77,73,74,85
2016,6b,192,64,82,78,84
2016,6b,193,75,76,68,81
2016,6b,195,72,69,69,79
2016,6b,198,73,80,74,79
2016,6b,201,79,74,74,82
2016,6b,203,78,78,75,78
2016,6b,204,75,76,70,84
2016,6b,205,77,73,69,77
2016,6b,206,74,75,69,77
2016,6b,208,73,70,69,75
2016,6b,210,74,66,67,74
2016,6b,223,68,68,67,73
2016,6b,224,77,79,75,82
2016,6b,225,73,74,68,75
2016,6b,226,74,76,66,78
2016,6b,227,74,72,68,79
2016,6b,228,75,76,71,78
2016,6b,229,72,67,63,72
2016,6b,230,75,76,74,82
2016,6b,231,76,77,67,82
2016,6b,232,75,81,72,82
2016,6b,239,71,81,66,84
2016,6b,240,76,73,65,80
2016,6b,246,56,58,48,68
2016,6b,252,82,69,72,74
2016,6b,253,74,73,66,77
2016,6b,254,71,76,73,73
2016,6b,255,71,74,74,75
