agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,4b,413,69,,63,71
2016,4b,415,73,82,66,80
2016,4b,416,75,78,65,76
2016,4b,417,70,67,69,70
2016,4b,418,75,78,75,81
2016,4b,419,74,70,66,77
2016,4b,420,78,,77,83
2016,4b,421,72,75,67,79
2016,4b,423,80,75,77,85
2016,4b,427,74,74,71,78
2016,4b,429,73,74,70,78
2016,4b,430,72,78,73,78
2016,4b,431,80,82,77,86
2016,4b,433,76,83,72,82
2016,4b,434,73,80,79,82
2016,4b,440,72,75,77,77
2016,4b,441,76,62,68,75
2016,4b,442,77,72,75,74
2016,4b,444,70,66,63,67
2016,4b,445,82,79,63,78
2016,4b,446,76,83,83,95
2016,4b,447,84,82,69,92
2016,4b,450,75,,71,76
2016,4b,452,78,77,76,82
2016,4b,453,74,78,72,73
2016,4b,454,77,78,72,80
2016,4b,455,82,86,74,83
2016,4b,458,83,,82,88
2016,4b,459,74,78,69,79
2016,4b,461,81,78,71,81
2016,4b,462,75,78,73,75
2016,4b,463,72,72,72,79
2016,4b,464,74,77,71,80
2016,4b,468,77,82,76,97
2016,4b,469,75,80,77,
2016,4b,471,82,,,
2016,4b,476,76,,71,79
2016,4b,478,78,85,78,84
2016,4b,479,76,81,76,80
2016,4b,481,73,69,70,76
2016,4b,483,72,82,73,
2016,4b,484,72,83,72,71
2016,4b,485,67,78,89,83
2016,4b,487,74,69,71,80
2016,4b,489,78,72,75,82
2016,4b,490,79,,73,81
2016,4b,492,67,73,68,67
2016,4b,493,66,72,62,71
2016,4b,496,67,74,70,71
2016,4b,497,71,77,68,76
2016,4b,499,71,,75,77
2016,4b,502,78,93,75,90
2016,4b,504,90,,87,89
2016,4b,508,71,,90,85
2016,4b,514,80,88,66,71
2016,4b,519,76,81,75,82
2016,4b,521,76,70,58,76
2016,4b,522,78,72,74,76
2016,4b,523,79,74,71,83
2016,4b,525,75,72,68,78
2016,4b,526,78,79,78,79
2016,4b,527,69,72,67,72
2016,4b,528,77,77,70,81
2016,4b,530,75,,63,74
2016,4b,531,75,,69,72
2016,4b,534,70,62,64,66
2016,4b,535,71,69,63,70
2016,4b,536,82,79,74,84
2016,4b,539,80,79,73,83
2016,4b,540,61,64,54,59
2016,4b,542,80,79,78,85
2016,4b,543,80,82,75,87
2016,4b,546,68,70,73,70
2016,4b,548,86,76,77,87
2016,4b,549,66,,61,74
2016,4b,551,72,72,72,82
2016,4b,552,65,68,60,74
2016,4b,556,74,67,73,80
2016,4b,557,80,74,76,73
2016,4b,558,87,90,74,86
2016,4b,560,72,72,67,72
2016,4b,561,65,85,63,77
2016,4b,562,77,,73,88
2016,4b,563,57,84,70,69
2016,4b,565,72,76,70,72
2016,4b,566,74,77,71,82
2016,4b,567,80,83,76,86
2016,4b,568,74,76,71,80
2016,4b,570,78,84,75,86
2016,4b,573,77,85,75,84
2016,4b,579,77,83,75,83
2016,4b,580,77,82,74,81
2016,4b,581,72,74,69,75
2016,4b,582,72,74,73,75
2016,4b,583,78,83,69,81
2016,4b,585,75,76,73,75
2016,4b,587,76,74,78,74
2016,4b,589,76,79,76,80
2016,4b,590,79,85,75,84
2016,4b,591,74,78,75,80
2016,4b,594,72,83,74,85
2016,4b,597,74,69,70,76
2016,4b,598,80,76,84,83
2016,4b,599,78,69,71,81
2016,4b,602,73,72,70,79
2016,4b,604,77,85,73,89
2016,4b,606,72,84,82,84
2016,4b,608,86,85,78,83
2016,4b,612,74,72,69,82
2016,4b,613,75,78,68,80
2016,4b,614,74,69,68,78
2016,4b,615,78,78,76,85
2016,4b,616,71,71,65,73
2016,4b,617,78,73,60,77
2016,4b,618,75,74,71,78
2016,4b,620,71,72,74,75
2016,4b,625,79,77,68,81
2016,4b,626,73,72,68,75
2016,4b,628,73,79,64,76
2016,4b,629,72,68,61,72
2016,4b,630,71,73,69,72
2016,4b,631,80,81,77,87
2016,4b,632,78,74,73,81
2016,4b,634,78,82,68,81
2016,4b,635,51,,83,
2016,4b,637,73,78,81,85
2016,4b,638,64,77,57,
2016,4b,639,85,79,82,96
2016,4b,640,64,81,72,71
2016,4b,641,67,75,59,67
2016,4b,642,76,75,75,76
2016,4b,643,79,78,79,82
2016,4b,644,51,69,62,62
2016,4b,646,70,74,65,72
2016,4b,647,71,70,62,72
2016,4b,648,76,85,75,83
2016,4b,649,77,79,71,81
2016,4b,650,86,85,83,88
2016,4b,655,73,73,66,72
2016,4b,657,76,67,76,79
2016,4b,658,74,71,72,76
2016,4b,659,,,78,95
2016,4b,661,77,70,74,82
2016,4b,662,64,80,66,60
2016,4b,664,90,89,90,95
2016,4b,666,72,68,65,77
2016,4b,668,74,75,71,79
2016,4b,669,74,79,76,82
2016,4b,671,73,75,72,79
2016,4b,672,76,75,75,86
2016,4b,673,75,71,70,77
2016,4b,676,75,81,74,88
2016,4b,678,72,77,84,84
2016,4b,680,86,81,86,89
2016,4b,681,67,82,67,93
2016,4b,682,75,76,77,88
2016,4b,683,76,86,73,83
2016,4b,686,49,65,68,67
2016,4b,687,63,,83,
2016,4b,688,63,71,52,
2016,4b,690,75,75,73,77
2016,4b,691,79,75,82,86
2016,4b,692,78,81,80,79
2016,4b,693,82,91,85,90
2016,4b,694,74,72,75,74
2016,4b,695,60,79,53,79
2016,4b,696,87,,89,73
2016,4b,697,68,73,64,72
2016,4b,699,82,76,77,80
2016,4b,706,74,75,68,76
2016,4b,707,76,81,79,81
2016,4b,708,67,75,69,76
2016,4b,709,68,65,59,63
2016,4b,710,69,63,61,70
2016,4b,711,69,74,68,78
2016,4b,712,70,75,65,77
2016,4b,713,84,81,84,86
2016,4b,714,72,74,67,77
2016,4b,715,77,,69,78
2016,4b,716,74,71,71,79
2016,4b,718,77,77,71,78
2016,4b,721,76,73,68,81
2016,4b,722,80,82,73,84
2016,4b,723,68,82,69,80
2016,4b,725,75,75,76,82
2016,4b,726,82,93,71,87
2016,4b,727,89,93,29,
2016,4b,728,78,92,84,91
2016,4b,729,72,78,67,78
2016,4b,730,71,72,62,70
2016,4b,731,78,,69,
2016,4b,733,71,74,73,84
2016,4b,735,80,92,79,77
2016,4b,736,85,87,82,84
2016,4b,737,73,77,69,78
2016,4b,740,78,72,73,73
2016,4b,743,73,,75,66
2016,4b,744,59,64,63,71
2016,4b,745,77,83,92,90
2016,4b,747,85,,87,87
2016,4b,749,77,84,66,74
2016,4b,750,83,70,66,72
2016,4b,753,72,,67,82
2016,4b,754,83,89,85,98
2016,4b,757,77,,69,79
2016,4b,758,71,88,79,69
2016,4b,759,71,89,80,73
2016,4b,760,68,88,82,72
2016,4b,762,66,75,60,69
2016,4b,763,76,77,76,82
2016,4b,766,76,78,71,81
2016,4b,767,81,,75,85
2016,4b,769,78,79,79,81
2016,4b,770,81,77,77,81
2016,4b,773,68,79,69,73
2016,4b,774,85,,68,82
2016,4b,775,76,83,72,75
2016,4b,776,75,79,19,58
2016,4b,777,61,77,76,64
2016,4b,778,74,83,79,81
2016,4b,780,82,85,70,87
2016,4b,783,67,86,54,65
2016,4b,785,68,,57,83
2016,4b,787,90,,72,
2016,4b,788,89,97,89,91
2016,4b,789,73,77,72,80
2016,4b,790,,82,92,79
2016,4b,793,75,70,79,80
2016,4b,795,79,90,86,85
2016,4b,797,83,96,65,72
2016,4b,798,81,80,78,87
2016,4b,799,73,74,72,76
2016,4b,800,69,79,61,71
2016,4b,803,71,,64,77
2016,4b,804,75,75,74,81
2016,4b,805,73,81,69,74
2016,4b,806,73,85,76,92
2016,4b,807,85,91,91,80
2016,4b,809,68,,58,62
2016,4b,810,76,97,79,79
2016,4b,812,66,81,76,75
2016,4b,813,66,,60,73
2016,4b,814,62,68,64,69
2016,4b,816,79,88,73,89
2016,4b,817,71,,86,
2016,4b,818,65,90,64,71
2016,4b,820,53,65,62,64
2016,4b,821,80,76,74,85
2016,4b,822,77,78,66,81
2016,4b,823,61,81,69,64
2016,4b,824,72,,59,84
2016,4b,826,67,85,72,84
2016,4b,827,81,,75,85
2016,4b,830,74,,83,
2016,4b,831,88,81,77,91
2016,4b,833,73,77,73,83
2016,4b,836,68,75,53,57
2016,4b,837,77,81,69,88
2016,4b,838,78,,87,91
2016,4b,839,75,67,69,77
2016,4b,841,84,,73,
2016,4b,843,62,,63,
2016,4b,844,66,,68,73
2016,4b,847,74,73,73,80
2016,4b,848,78,76,68,83
2016,4b,849,65,,72,74
2016,4b,850,82,81,75,87
2016,4b,851,74,73,68,79
2016,4b,852,82,,81,88
2016,4b,857,75,,76,86
2016,4b,865,81,92,69,76
2016,4b,868,87,94,98,91
2016,4b,869,73,87,81,79
2016,4b,870,65,73,54,68
2016,4b,871,72,,67,73
2016,4b,872,77,68,94,73
2016,4b,875,73,,88,
2016,4b,876,67,,59,68
2016,4b,879,63,,76,67
2016,4b,883,79,94,82,72
2016,4b,889,46,,62,67
2016,4b,890,83,,84,
2016,4b,891,83,,80,84
2016,4b,892,82,72,76,52
2016,4b,896,62,73,63,69
2016,4b,897,68,66,68,71
2016,4b,900,90,96,79,93
2016,4b,905,74,63,67,
2016,4b,906,69,94,61,73
2016,4b,907,65,,75,71
2016,4b,908,82,78,73,80
2016,4b,910,78,76,88,80
2016,4b,915,77,66,61,71
2016,4b,923,76,88,65,82
2016,4b,924,83,83,81,88
2016,4b,925,72,87,64,72
2016,4b,928,86,73,78,90
2016,4b,929,71,77,72,78
2016,4b,931,59,76,59,69
2016,4b,932,76,77,71,79
2016,4b,933,69,,58,
2016,4b,935,74,70,80,72
2016,4b,937,75,63,70,68
2016,4b,940,84,,81,
2016,4b,943,64,77,68,80
2016,4b,945,64,71,73,81
2016,4b,946,67,73,73,69
2016,4b,947,76,70,69,80
2016,4b,948,60,85,50,
2016,4b,949,81,93,96,88
2016,4b,950,83,76,70,73
2016,4b,953,85,72,68,74
2016,4b,954,62,,72,84
2016,4b,956,93,89,83,84
2016,4b,959,71,77,73,77
2016,4b,963,69,,66,73
2016,4b,969,74,72,71,76
2016,4b,971,75,78,75,78
2016,4b,972,73,72,77,75
2016,4b,973,74,75,77,81
2016,4b,974,65,73,65,73
2016,4b,976,65,,62,54
2016,4b,977,77,69,63,76
2016,4b,978,65,85,86,84
2016,4b,981,75,74,75,81
2016,4b,982,70,68,71,77
2016,4b,984,80,88,78,84
2016,4b,985,72,,73,81
2016,4b,987,72,74,69,75
2016,4b,990,79,76,80,87
2016,4b,991,83,96,80,83
2016,4b,993,69,71,71,78
2016,4b,994,69,94,88,82
2016,4b,995,86,74,79,86
2016,4b,998,85,,82,
2016,4b,1002,80,,86,
2016,4b,1004,77,,73,
2016,4b,1006,72,77,78,86
2016,4b,1010,78,,81,88
2016,4b,1011,77,57,80,69
2016,4b,1014,72,73,72,75
2016,4b,1015,73,80,78,83
2016,4b,1016,71,69,72,76
2016,4b,1017,66,70,68,69
2016,4b,1018,74,63,64,73
2016,4b,1019,78,83,85,84
2016,4b,1020,80,70,75,78
2016,4b,1022,67,86,81,80
2016,4b,1027,81,87,88,85
2016,4b,1030,84,,79,92
2016,4b,1031,79,80,78,84
2016,4b,1032,76,68,76,73
2016,4b,1033,82,,90,92
2016,4b,1034,70,78,74,72
2016,4b,1036,73,69,66,72
2016,4b,1037,58,87,,76
2016,4b,1040,43,66,45,55
2016,4b,1041,65,54,51,59
2016,4b,1042,71,80,64,80
2016,4b,1044,82,94,74,80
2016,4b,1045,81,83,75,79
2016,4b,1046,77,89,81,87
2016,4b,1047,74,88,71,73
2016,4b,1049,72,65,63,72
2016,4b,1050,69,61,61,65
2016,4b,1051,71,72,73,81
2016,4b,1052,80,89,83,89
2016,4b,1053,82,89,95,94
2016,4b,1055,73,82,76,87
2016,4b,1059,80,76,75,81
2016,4b,1062,76,87,92,95
2016,4b,1063,83,91,82,99
2016,4b,1065,93,97,89,97
2016,4b,1066,74,74,72,78
2016,4b,1068,81,79,88,
2016,4b,1070,61,81,72,58
2016,4b,1072,67,82,68,72
2016,4b,1077,73,73,69,75
2016,4b,1078,82,76,78,86
2016,4b,1084,54,65,64,
2016,4b,1085,73,95,80,75
2016,4b,1086,77,87,81,78
2016,4b,1087,79,77,73,81
2016,4b,1092,75,,80,
2016,4b,1094,64,80,71,86
2016,4b,1095,62,83,85,83
2016,4b,1096,75,89,61,80
2016,4b,1099,72,75,60,75
2016,4b,1100,78,75,77,82
2016,4b,1101,71,,88,
2016,4b,1104,71,85,78,77
2016,4b,1109,80,83,70,89
2016,4b,1116,87,96,95,83
2016,4b,1119,77,82,74,82
2016,4b,1122,70,76,68,77
2016,4b,1123,76,69,69,75
