RBD|NOM_RBD|COD_REG_RBD|COD_PRO_RBD|COD_COM_RBD|NOM_REGI_N|NOM_PROVINCIA|COD_DEPROV|NOM_DEPROV|NOM_COMUNA|grado|ind_am_rbd|dim_am_aa_rbd|dim_am_me_rbd|ind_cc_rbd|dim_cc_ao_rbd|dim_cc_ar_rbd|dim_cc_as_rbd|ind_hv_rbd|dim_hv_ac_rbd|dim_hv_ha_rbd|dim_hv_va_rbd|ind_pf_rbd|dim_pf_pa_rbd|dim_pf_sp_rbd|dim_pf_vd_rbd|cod_grupo|cod_rural_rbd|cod_depe2
27|ESCUELA ESMERALDA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|81.715547282|80.413197017|83.017897546|82.458095659|87.021574276|79.652816163|80.69989654|78.965053522|91.53274338|73.187623171|72.174794015|88.842576457|85.485773157|90.037574633|91.00438158|3|1|1
28|ESCUELA RICARDO SILVA ARRIAGADA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|82.504157317|81.855886961|83.152427673|86.77047836|92.633078119|78.181228893|89.497128069|80.60108679|89.44999717|78.272729911|74.080533288|89.568574402|89.111083369|89.874015611|89.720624227|3|1|1
29|ESCUELA AMERICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|82.346671956|80.164007432|84.529336481|80.502210343|86.88381579|73.900771823|80.722043416|78.158732528|87.499412951|75.501836123|71.474948509|84.704614436|79.662018595|86.869005519|87.582819192|2|1|1
31|ESCUELA DARIO SALAS DIAZ|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|71.328430605|70.275466452|72.381394758|74.771593923|79.910791527|68.49156412|75.91242612|67.018662743|79.204802531|63.475987621|58.375198078|74.765119496|75.664273968|78.130290805|70.500793713|1|2|1
32|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|75.190873489|73.600481338|76.781265639|78.366288579|82.576810384|74.862807725|77.659247628|73.328580622|82.550318698|71.562407034|65.873016133|83.498138934|85.377230524|81.942320817|80.911499401|1|2|1
33|ESCUELA CARLOS CONDELL DE LA HAZA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|77.816211973|74.189840732|81.442583214|80.939355253|85.068006162|76.875152604|80.874906992|80.207844805|83.825228409|84.807153138|71.991152869|83.561622898|78.989907286|85.375987544|86.318973863|1|2|1
35|ESCUELA GRAL. MANUEL BAQUEDANO|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|73.969531513|70.72925468|77.209808345|74.517197353|79.368336389|63.670373706|80.512881965|69.219565405|74.350848473|71.933845029|61.374002713|77.895890179|76.872017192|79.671572262|77.144081083|2|2|1
36|ESCUELA IGNACIO CARRERA PINTO|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|68.09992364|65.967594404|70.232252875|||||67.539224887|79.453271348|58.786293007|64.378110306|77.156541226|79.617729465|80.489597798|71.362296413|2|1|1
38|ESCUELA ESPAÑA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|79.956766541|75.697764634|84.215768448|78.541190132|83.609679188|73.690109275|78.323781931|68.487100187|81.706928227|61.988478295|61.765894038|84.932655446|81.596526602|85.665647746|87.53579199|1|2|1
39|ESCUELA PAMPA ALGODONAL|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|73.463092498|74.475241542|72.450943453|68.204034179|75.663375634|63.349201003|65.599525901|66.020535256|79.514773402|62.60602793|55.940804435|81.170059226|79.116055677|87.839278467|76.554843534|2|2|1
41|ESCUELA VALLE DE CHACA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|76.613167153|74.190634173|79.035700132|69.645706887|79.546607529|67.378568335|62.011944795|74.318829147|89.542311796|66.211074534|67.20310111|82.817066395|88.497350939|89.143661669|70.810186579|1|2|1
42|ESCUELA MOLINOS LLUTA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|76.0017239|71.676152796|80.327295004|72.98142928|75.907837696|77.785316175|65.251133967|64.461441024|77.84444757|69.682710893|45.857164607|73.203569443|74.938540817|72.191240822|72.480926692|3|2|1
45|COLEGIO ITALIANO SANTA ANA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|74.106633363|72.281911581|75.931355144|76.917671724|82.70362448|69.709429326|78.339961365|68.640685569|70.284127974|76.166207711|59.471721022|80.376706625|82.08941075|78.338817287|80.701891838|3|1|2
50|COLEGIO ADVENTISTA DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|74.384384345|72.179723496|76.589045193|80.832693939|86.78789199|73.223464404|82.486725423|77.739062904|84.900748484|81.580412948|66.736027279|79.577313953|79.406538446|77.939846873|81.385556539|3|1|2
52|LICEO DOMINGO SANTA MARIA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|74.582185539|72.306064539|76.858306538|73.410811643|78.993652387|67.466158221|73.77262432|66.924929606|76.052279695|63.167368757|61.555140366|72.871413459|68.152211779|75.658754494|74.803274105|3|1|2
56|COLEGIO SAN MARCOS DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|73.203545476|71.978796344|74.428294609|75.439500987|82.190263308|69.27150789|74.856731763|71.155022941|80.514952654|69.385852111|63.56426406|78.909159117|78.861067045|78.437158724|79.429251583|4|1|2
59|COLEGIO SAN JORGE|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|76.919754821|76.652454194|77.187055447|73.78482401|76.492098836|70.675611403|74.186761792|76.190402389|79.816955634|80.372498606|68.381752925|79.164395136|74.481704016|80.65587044|82.355610951|5|1|3
60|COLEGIO ALEMAN DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|75.53268991|72.759512115|78.305867705|77.34865929|83.799443321|69.006197378|79.240337171|71.988037626|84.001199874|67.494215948|64.468697058|79.62743624|80.497396012|76.651047851|81.733864857|4|1|2
67|ABRAHAM LINCOLN SCHOOL|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|76.347924104|73.28724958|79.408598627|80.7357104|84.496198052|76.02819065|81.682742499|76.313174397|84.170267113|81.64600613|63.123249948|81.78712009|77.288847628|82.788904776|85.283607866|4|1|2
69|JUNIOR COLLEGE|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|75.813867017|74.128126268|77.499607766|79.220908027|82.669193832|75.553458329|79.44007192|74.250404117|85.061461976|68.892891339|68.796859036|78.667454888|76.259197172|81.083305304|78.659862188|5|1|3
70|ESCUELA VALLE DE ESQUINA|15|151|15102|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|CAMARONES|4b|73.755812243|63.681967926|83.829656559|||||86.269456133|90.60316719|86.769839118|81.43536209|80.228452951|71.465290859|88.158533097|81.061534897|4|2|1
72|LICEO VALLE DE CODPA|15|151|15102|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|CAMARONES|4b|78.542845933|77.078522217|80.007169649|69.957554321|83.636483831|63.87183374|62.364345392|72.989975687|81.347099924|65.068553017|72.554274121|86.349467534|80.677588575|79.675481502|98.695332524|4|2|1
74|ESCUELA VALLE DE CAMARONES|15|151|15102|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|CAMARONES|4b|56.68446101|60.125499854|53.243422165|72.246832313|75.841460527|66.104844386|74.794192026|76.925915687|88.059132463|75.512240199|67.2063744|75.999685448|63.484985824|91.770671195|72.743399324|2|2|1
76|ESCUELA VALLE DE CUYA|15|151|15102|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|CAMARONES|4b|83.007554773|83.136320378|82.878789169|||||84.798871769|100|77.4980319|76.898583406|79.915085254|79.316961106|75.26976761|85.158527045|2|2|1
78|LICEO GRANADEROS|15|152|15201|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|PUTRE|4b|74.982279005|72.116121468|77.848436543|75.964524708|80.206299096|71.683283722|76.003991307|57.853568759|65.858399655|58.478281487|49.224025133|74.636328428|75.319349795|69.590766745|78.998868745|2|2|1
79|ESCUELA EL MARQUEZ|15|152|15201|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|PUTRE|4b|82.752432246|79.092018189|86.412846303|78.941876088|79.230162064|78.449007113|79.146459087|82.654937588|100|71.593228901|76.371583862|86.334710949|72.481550777|91.770671195|94.751910874|2|2|1
81|ESCUELA PAYACHATAS|15|152|15201|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|PUTRE|4b|85.132638908|82.156717999|88.108559816|95.151433171|92.463974581|92.99032493|100|83.637372442|98.389455297|88.753241178|63.769420851|98.184191342|97.363695684|97.188878343|100|3|2|1
83|ESCUELA COTA COTANI|15|152|15201|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|PUTRE|4b|76.011587573|73.93041851|78.092756637|77.703695903|78.735236695|70.114341644|84.261509371|84.667716603|92.082994205|90.486328339|71.433827264|78.004780743|71.697884478|87.173404525|92.579263523|1|2|1
86|ESCUELA SAN SANTIAGO DE BELEN|15|152|15201|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|PUTRE|4b|51.341233338|40.976324736|61.706141941|59.534475617|70.254273473|41.903826949|66.445326429|||||45.773564066|64.204839044|0|73.115853155|3|2|1
90|||||||||||||||||||||||||||2|1
91|ESCUELA COSAPILLA|15|152|15202|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|GENERAL LAGOS|4b|76.64802328|78.261913363|75.034133197|||||65.643520296|67.591216697|72.650047649|56.689296541|81.070445254|75.673185541|86.352464048|81.185686174|3|2|1
93|ESCUELA CHUJLLUTA|15|152|15202|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|GENERAL LAGOS|4b|58.106905782|35.426930655|80.78688091|68.49612503|72.114162628|70.80399325|62.570219213|56.503377862|72.640740172|52.621868719|44.247524695|59.185162077|65.086858168|64.679635458|47.788992603|1|2|1
95|ESCUELA COLPITAS|15|152|15202|REGIÓN DE ARICA Y PARINACOTA|PARINACOTA|151|ARICA|GENERAL LAGOS|4b|95.028835559|93.581478266|96.476192852|73.166142225|82.238142109|71.350490758|65.909793808|69.775508369|90.680259152|74.261263117|44.385002837|60.20447141|73.227634815|55.375643387|52.010136029|1|2|1
103|ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PAR|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|71.939059128|70.683209113|73.194909143|74.292838067|77.081282934|67.522180786|78.27505048|65.113043605|64.350301515|71.626703206|59.362126094|75.253299101|74.07264869|75.681697824|76.005550789|3|1|1
110|LICEO BICENTENARIO DOMINGO SANTA MARIA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|72.31725949|66.773479771|77.861039209|72.322932102|78.906564486|66.406512918|71.655718902|63.872118599|71.333017372|61.837074006|58.446264418|74.899422503|75.041071224|76.340703387|73.316492897|3|1|1
111|ESCUELA GABRIELA MISTRAL|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|78.211724855|76.118648053|80.304801656|75.74177604|80.727504947|70.552607163|75.94521601|73.88718483|82.254543956|69.68716376|69.719846775|84.084879979|81.843934018|86.547804862|83.862901058|2|1|1
112|ESCUELA EDUARDO LLANOS|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|78.008325081|77.29327861|78.723371553|75.180404065|77.986999588|71.230962333|76.323250273|69.791893906|80.694502705|66.502867664|62.178311349|79.500492775|76.547449224|82.780928659|79.173100443|2|1|1
113|ESCUELA ALMIRANTE PATRICIO LYNCH|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|71.340348768|69.731747468|72.948950067|69.713097328|76.78045773|64.338133877|68.020700377|61.881837079|71.444274373|58.81953153|55.381705334|71.495447092|71.345075189|71.568534001|71.572732088|2|1|1
114|ESCUELA PLACIDO VILLARROEL|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|83.565919165|80.898306834|86.233531496|86.99106906|91.837182312|80.055058226|89.080966644|81.241454783|85.465190485|81.697834915|76.561338949|92.627142543|94.815679673|89.910260711|93.155487243|1|1|1
116|COLEGIO REPUBLICA DE CROACIA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|74.010131328|70.502378593|77.517884063|72.457926076|78.129079176|68.38189661|70.862802443|67.359636225|76.328735676|66.695222582|59.054950419|80.077256002|78.308693486|81.210189132|80.71288539|2|1|1
117|ESCUELA PAULA JARAQUEMADA ALQUIZAR|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|70.3440931|67.142276596|73.545909605|73.29339858|81.098913327|65.972460584|72.808821829|61.573748381|65.93822636|62.411217443|56.37180134|75.03351868|76.205608275|76.683891174|72.211056592|3|1|1
119|ESCUELA CENTENARIO|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|78.420353846|75.996948749|80.843758942|79.767536764|84.49680255|74.162793612|80.643014131|66.808218717|76.390874463|62.208269977|61.825511709|82.76680063|80.334831321|84.438772053|83.526798517|2|1|1
122|ESCUELA THILDA PORTILLO OLIVARES|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|72.682452804|70.802915134|74.561990474|69.518545104|75.216935074|65.081891658|68.256808578|64.562048633|78.205029906|63.431521958|52.049594033|68.731169649|68.116750367|72.985474956|65.091283623|3|1|1
123|COLEGIO ESPANA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|76.097051687|70.69108129|81.503022084|73.73274998|80.598038132|68.572606597|72.027605211|68.653864279|76.840415707|68.158048603|60.963128526|79.845403478|76.852750901|84.812635429|77.870824103|2|1|1
125|ESCUELA PROFESOR MANUEL CASTRO RAMOS|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|75.519723995|73.593454821|77.44599317|70.062452858|76.896426116|65.72450476|67.566427698|66.821964684|77.536000619|61.811260632|61.118632801|75.712935941|70.130047089|80.028108337|76.980652397|3|1|1
126|COLEGIO REPUBLICA DE ITALIA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|74.401748106|72.642051569|76.161444644|67.370754376|74.344982132|63.514507767|64.252773228|65.208255225|73.900174379|61.691730129|60.032861167|72.355192552|71.487824091|73.895748874|71.682004692|3|1|1
127|LICEO MARIA AUXILIADORA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|77.974621553|76.023086907|79.926156199|81.030947017|87.272184867|73.60766321|82.212992976|80.3971177|82.114994214|86.354660779|72.721698107|85.479679004|81.516520976|85.653632723|89.268883313|4|1|2
129|LICEO SUPERIOR GABRIELA MISTRAL|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|74.039425678|69.468160134|78.610691223|76.32281166|82.128041039|71.047246168|75.793147774|72.355699638|86.961213575|75.797780718|54.308104621|77.079285339|73.936786807|85.121053332|72.180015876|3|1|2
130|COLEGIO NORTH COLLEGE|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|73.339643504|71.636865599|75.042421409|80.899081405|84.023462062|75.194473954|83.479308198|63.46731378|72.350902666|65.973005075|52.078033599|76.834378091|68.864990829|79.988382493|81.64976095|4|1|2
131|COLEGIO ESCASCE|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|69.702534797|67.713763535|71.69130606|67.040026432|70.899539743|64.572636437|65.647903116|73.383561229|80.64387151|72.167937292|67.338874885|72.161330473|73.183369278|74.717530661|68.583091481|3|1|2
132|COLEGIO BAJO MOLLE|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|73.709045702|72.144691108|75.273400295|71.923866557|76.981824394|65.79767861|72.992096668|71.152795473|79.200597414|69.588746023|64.669042981|74.418907259|75.080308892|72.931535806|75.244877079|4|1|2
133|COLEGIO ADVENTISTA DE IQUIQUE|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|73.440449244|71.859254858|75.021643629|75.178732328|83.02161169|67.180627928|75.333957366|69.635859195|78.748632992|72.023876572|58.135068021|76.94579636|75.318829649|76.009386986|79.509172445|3|1|2
134|LICEO ATENEA|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|71.511436937|70.515747449|72.507126424|68.955061311|75.146898603|61.674570838|70.043714491|64.962890372|80.191041735|58.683085654|56.014543726|71.973106567|73.435875478|73.916941716|68.566502508|3|1|2
144|COLEGIO IQUIQUE YOUNG SCHOOL|1|11|1101|REGIÓN DE TARAPACÁ|IQUIQUE|11|IQUIQUE|IQUIQUE|4b|72.065659867|70.721584996|73.409734738|66.280225703|74.232132145|59.463924026|65.144620937|62.28285289|74.556880797|51.378414756|60.913263118|72.812967921|74.432006213|76.571374685|67.435522867|3|1|2
154|ESCUELA BASICA FRONTERIZA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|73.930342003|70.352031624|77.508652382|69.721804075|68.730662087|73.407597918|67.02715222|66.358139449|78.432452349|66.063940922|54.578025076|78.706545323|80.914098443|76.962468688|78.243068837|1|2|1
156|ESCUELA PISAGUA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|78.237752933|85.831210454|70.644295411|59.715176417|72.186539456|52.459492336|54.499497458|72.527487958|62.898660213|87.989153456|66.694650205|84.862965716|83.175484958|81.992357959|89.42105423|1|2|1
158|||||||||||||||||||||||||||2|1
159|ESCUELA JAINA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|61.117450563|65.853616572|56.381284554|79.204398772|82.147201938|79.349893864|76.116100512|76.200113353|93.301385841|77.784788824|57.514165393|89.963835663|92.96230875|91.770671195|85.158527045|3|2|1
160|ESCUELA PACHICA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|71.657162406|66.711260421|76.603064391|73.32077114|80.85922929|70.79237865|68.310705481|71.751410652|67.552670717|83.932140388|63.769420851|71.128114896|67.797468414|93.576740244|52.010136029|2|2|1
161|LICEO DE HUARA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|76.600812184|77.492375324|75.709249044|65.86166947|69.904778647|61.801503718|65.878726044|75.123082789|81.324730306|75.921019741|68.12349832|75.832128027|73.615941257|76.16915351|77.711289315|2|2|1
162|ESCUELA SIBAYA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|82.039165585|81.305193933|82.773137236|60.383719392|68.605979535|51.724669023|60.820509619|65.838489301|92.576269876|52.92415831|52.015039715|84.196589305|75.404472526|77.185295389|100|1|2|1
165|ESCUELA CHUSMIZA|1|14|1404|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|HUARA|4b|67.885756665|66.046389731|69.7251236|||||81.365374261|95.378675557|80.514356297|68.203090929|83.451880484|74.385677844|92.67370572|83.296257887|2|2|1
167|ESCUELA CAMINA|1|14|1402|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|CAMIÑA|4b|79.975267061|79.607391328|80.343142794|77.684993322|82.577305642|76.420229811|74.057444514|66.552914482|58.982614335|75.707593354|64.968535756|78.997755812|79.328744345|87.520023837|70.144499254|2|2|1
168|ESCUELA CUISAMA|1|14|1402|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|CAMIÑA|4b||24.065116726||92.696955948|99.728015603|83.777719544|94.585132699|80.737850479|72.640740172|80.644890439|88.927920826|93.808898414|86.540010855|97.188878343|97.697806044|1|2|1
169|ESCUELA QUISTAGAMA|1|14|1402|REGIÓN DE TARAPACÁ|TAMARUGAL|11|IQUIQUE|CAMIÑA|4b|55.911849458|60.027708222|51.795990693|60.352098727|62.290697107|47.543616694|71.221982379|54.575291697|64.918695367|60.150432802|38.656746923|56.897202261|83.002530729|46.728403697|40.960672357|2|2|1
