RBD|NOM_RBD|COD_REG_RBD|COD_PRO_RBD|COD_COM_RBD|NOM_REGI_N|NOM_PROVINCIA|COD_DEPROV|NOM_DEPROV|NOM_COMUNA|grado|ind_am_rbd|dim_am_aa_rbd|dim_am_me_rbd|ind_cc_rbd|dim_cc_ao_rbd|dim_cc_ar_rbd|dim_cc_as_rbd|ind_hv_rbd|dim_hv_ac_rbd|dim_hv_ha_rbd|dim_hv_va_rbd|ind_pf_rbd|dim_pf_pa_rbd|dim_pf_sp_rbd|dim_pf_vd_rbd|cod_grupo|cod_rural_rbd|cod_depe2
5|JOVINA NARANJO FERNANDEZ|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|80.006895152|77.197486707|82.816303597|82.477939143|88.414443668|73.53643224|85.482941522|77.180944235|79.933608478|82.109998338|69.499225889|86.428229002|82.112043395|82.937044399|94.235599213|3|1|1
8|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|79.102501236|78.832364547|79.372637925|84.891837508|89.908090563|79.210943257|85.556478705|78.560041984|88.152936512|79.591039764|67.936149675|81.409805814|75.790766533|85.854924365|82.583726545|3|1|1
9|ESCUELA REPUBLICA DE ISRAEL|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|81.201001679|78.918835093|83.483168265|79.10679644|85.138971212|72.719155819|79.462262288|75.621114582|85.097497314|75.176185245|66.589661186|82.989246273|76.963426569|85.640022673|86.364289578|3|1|1
10|ESCUELA REPUBLICA DE FRANCIA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|78.45743087|75.35570584|81.559155899|84.714188825|85.466218871|82.512309745|86.164037861|80.174772416|84.601401694|81.278621167|74.644294387|88.968301101|89.355840745|92.326384749|85.22267781|2|1|1
11|ESC. GRAL. PEDRO LAGOS MARCHANT|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|75.644508238|73.964350554|77.324665921|73.342634081|82.419548515|66.657679948|70.95067378|69.650558604|80.083975662|65.777029067|63.090671084|78.982845804|76.706098111|78.640411691|81.602027609|2|1|1
12|ESCUELA GRAL JOSE MIGUEL CARRERA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|72.230862148|70.346946673|74.114777623|71.867369564|75.977249568|65.874226943|73.75063218|68.450195462|78.18361563|67.296354722|59.870616034|77.213531262|76.34427284|78.722534395|76.573786551|3|1|1
13|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|79.109086533|74.213436163|84.004736904|82.889816345|90.079592423|75.181796903|83.40805971|71.374778557|83.919109417|67.888008724|62.317217531|84.665748992|84.383551758|87.933751776|81.679943442|2|1|1
14|ESCUELA ROMULO J. PENA MATURANA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|74.374982311|70.872981739|77.876982883|80.628339181|86.036230732|75.08899889|80.759787919|75.589509053|85.418654634|74.526744884|66.823127641|82.302736776|85.430501259|78.410717761|83.066991307|2|1|1
15|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|72.830367121|68.820208613|76.84052563|78.440013486|82.082228159|71.814339223|81.423473076|70.781059052|78.533509584|73.176574624|60.633092948|82.785571473|81.461854948|84.340541967|82.554317503|3|1|1
16|ESCUELA REGIMIENTO RANCAGUA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|79.337308819|76.783380559|81.891237079|84.667211204|90.110808025|76.843522935|87.047302653|78.820313152|90.049001388|72.89075785|73.521180219|88.842447045|89.85323169|89.502832873|87.171276573|2|1|1
17|ESCUELA SUBTTE. LUIS CRUZ MARTINEZ|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|78.161351169|75.445270831|80.877431506|84.214100972|88.390805643|79.421719793|84.829777481|75.772670293|86.456776875|72.657547932|68.203686072|87.843375974|88.152512021|86.011496137|89.366119764|2|1|1
18|ESC. COMTE. JUAN JOSE SAN MARTIN|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|79.093212276|77.837455365|80.348969187|78.575554332|84.823549059|74.91025928|75.992854657|72.572329893|85.906371078|67.516624291|64.29399431|85.888987062|85.595527563|87.082623228|84.988810395|2|1|1
19|ESC. HUMBERTO VALENZUELA GARCIA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|69.194489369|66.215923086|72.173055651|73.308536387|80.542255302|64.946753232|74.436600626|65.999798672|78.72302416|61.411424367|57.86494749|73.730216119|75.568200368|74.949273079|72.722736135|2|1|1
20|ESCUELA TUCAPEL|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|78.827557221|76.071485899|81.583628544|71.993488997|80.104745676|67.422591988|68.453129326|63.109446122|69.362515319|62.686304393|57.279518652|74.046624097|76.625333417|76.119028549|69.395510325|2|1|1
22|ESCUELA GABRIELA MISTRAL|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|73.017210405|69.694349427|76.340071383|70.867382665|77.799936308|63.321421968|71.480789718|63.649508752|71.857961623|58.569128857|60.521435774|75.264632926|79.434160427|73.374136581|72.985601771|2|1|1
25|COLEGIO CENTENARIO DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|73.679578014|70.394431867|76.964724162|73.250047294|79.649761825|66.127896359|73.9724837|66.803059944|75.818427062|66.224751739|58.366001031|77.02956251|75.298121612|79.498432745|76.292133174|2|1|1
26|ESCUELA REPUBLICA DE ARGENTINA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|4b|83.286910011|83.755085637|82.818734386|84.784068051|89.301704624|79.305137168|85.745362361|76.673304407|92.544047749|68.228907788|69.246957684|87.24043253|91.02153793|90.327544252|80.372215407|3|1|1
