agno;rbd;ind;prom;dif;sigdif;difgru;sigdifgru;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;nom_deprov_rbd;cod_depe2;cod_grupo;cod_rural_rbd;codigo_bdd;fecha_bbdd;grado
2024;13;HV;76;5;1;5;1;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;13;PF;88;5;1;9;1;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;14;AM;79;0;0;4;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;14;CC;74;;;-1;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;14;HV;68;-9;-1;-3;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;14;PF;81;-3;0;2;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;15;AM;73;0;0;-1;0;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;15;CC;74;4;1;-1;0;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;15;HV;66;3;0;-5;-1;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;15;PF;79;5;1;2;0;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;16;AM;71;2;0;-4;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;16;CC;76;-6;-1;1;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;16;HV;72;5;1;1;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;16;PF;83;3;0;4;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;17;AM;82;2;0;7;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;17;CC;79;-1;0;4;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;17;HV;76;-1;0;5;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;17;PF;86;2;0;7;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;18;AM;85;0;0;10;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;18;CC;82;0;0;7;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;18;HV;75;0;0;4;0;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;18;PF;85;-4;-1;6;1;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;19;AM;76;-5;-1;1;0;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;19;CC;70;-8;-1;-5;-1;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;19;HV;77;4;1;6;1;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;19;PF;80;-3;0;1;0;ESC. HUMBERTO VALENZUELA GARCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;20;AM;77;-3;0;2;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;20;CC;74;-3;0;-1;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;20;HV;72;-3;0;1;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;20;PF;80;-4;-1;1;0;ESCUELA TUCAPEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;22;AM;77;-4;-1;3;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;22;CC;76;-2;0;1;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;22;HV;71;-7;-1;0;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;22;PF;77;-7;-1;0;0;ESCUELA GABRIELA MISTRAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;25;AM;74;4;0;-1;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;25;CC;76;5;1;1;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;25;HV;72;10;1;1;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;25;PF;78;3;0;-1;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;26;AM;76;1;0;1;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;26;CC;79;12;1;4;1;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;26;HV;74;5;1;3;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;26;PF;78;5;1;-1;0;ESCUELA REPUBLICA DE ARGENTINA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;final20250625v1;20250625;4b
2024;27;AM;76;;;2;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;27;CC;76;;;1;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;27;HV;70;;;-1;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;27;PF;78;;;1;0;ESCUELA ESMERALDA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;final20250625v1;20250625;4b
2024;28;AM;83;7;1;10;1;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;final20250625v1;20250625;4b
2024;28;CC;83;1;0;9;1;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;final20250625v1;20250625;4b
2024;28;HV;77;7;1;7;1;ESCUELA RICARDO SILVA ARRIAGADA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;final20250625v1;20250625;4b
