variable,descripcion,archivos_presentes
dif_lect2m_com,Diferencia respecto al año anterior en Lectura,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
dif_lect2m_deprov,Diferencia respecto al año anterior en Lectura,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
dif_lect2m_rbd,Diferencia respecto al año anterior en Lectura,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
dif_lect2m_reg,Diferencia respecto al año anterior en Lectura,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
dif_lect4b_com,Diferencia respecto al año anterior en Lectura,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
dif_lect4b_deprov,Diferencia respecto al año anterior en Lectura,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
dif_lect4b_rbd,Diferencia respecto al año anterior en Lectura,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
dif_lect4b_reg,Diferencia respecto al año anterior en Lectura,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
dif_lect6b_com,Diferencia respecto al año anterior en Lectura,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
dif_lect6b_deprov,Diferencia respecto al año anterior en Lectura,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
dif_lect6b_rbd,Diferencia respecto al año anterior en Lectura,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
dif_lect6b_reg,Diferencia respecto al año anterior en Lectura,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
dif_lect8b_com,Diferencia respecto al año anterior en Lectura,"simce_6b_2018_comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
dif_lect8b_deprov,Diferencia respecto al año anterior en Lectura,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
dif_lect8b_rbd,Diferencia respecto al año anterior en Lectura,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
dif_lect8b_reg,Diferencia respecto al año anterior en Lectura,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
dif_mate2m_com,Diferencia respecto al año anterior en Matemática,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2018_comuna"
dif_mate2m_deprov,Diferencia respecto al año anterior en Matemática,"simce_2m_2016__deprov, simce_2m_2017_deprov, simce_2m_2018_deprov, simce_2m_2022__deprov, simce_2m_2023__deprov, simce_2m_2024__deprov, simce_2m_2025__deprov, simce_4b_2018_deprov"
dif_mate2m_rbd,Diferencia respecto al año anterior en Matemática,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2018_rbd"
dif_mate2m_reg,Diferencia respecto al año anterior en Matemática,"simce_2m_2016__region, simce_2m_2017_región, simce_2m_2018_región, simce_2m_2022__region, simce_2m_2023__region, simce_2m_2024__region, simce_2m_2025__region, simce_4b_2018_región, simce_4b_2022__region, simce_4b_2023__region"
dif_mate4b_com,Diferencia respecto al año anterior en Matemática,"simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna"
dif_mate4b_deprov,Diferencia respecto al año anterior en Matemática,"simce_4b_2016__deprov, simce_4b_2017_deprov, simce_4b_2022__deprov, simce_4b_2023__deprov, simce_4b_2024__deprov, simce_4b_2025__deprov"
dif_mate4b_rbd,Diferencia respecto al año anterior en Matemática,"simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd"
dif_mate4b_reg,Diferencia respecto al año anterior en Matemática,"simce_4b_2016__region, simce_4b_2017_region, simce_4b_2024__region, simce_4b_2025__region"
dif_mate6b_com,Diferencia respecto al año anterior en Matemática,"simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna"
dif_mate6b_deprov,Diferencia respecto al año anterior en Matemática,"simce_6b_2016__deprov, simce_6b_2018_deprov, simce_6b_2024__deprov"
dif_mate6b_rbd,Diferencia respecto al año anterior en Matemática,"simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd"
dif_mate6b_reg,Diferencia respecto al año anterior en Matemática,"simce_6b_2016__region, simce_6b_2018_región, simce_6b_2024__region"
dif_mate8b_com,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
dif_mate8b_deprov,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_deprov, simce_8b_2017_deprov, simce_8b_2025__deprov"
dif_mate8b_rbd,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
dif_mate8b_reg,Diferencia respecto al año anterior en Matemática,"simce_6b_2018_region, simce_8b_2017_region, simce_8b_2025__region"
dif_nat2m_com,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__comuna
dif_nat2m_deprov,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__deprov
dif_nat2m_rbd,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__rbd
dif_nat2m_reg,Diferencia respecto al año anterior en Ciencias Naturales (o equivalente),simce_2m_2016__region
dif_nat6b_com,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_comuna
dif_nat6b_deprov,Diferencia respecto al año anterior en Ciencias Sociales,simce_6b_2018_deprov
dif_nat6b_rbd,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_rbd
dif_nat6b_reg,Diferencia respecto al año anterior en ciencias Sociales,simce_6b_2018_región
