variable,descripcion,archivos_presentes
fecha_bbdd,Fecha en la que se construyó esta bbdd,"idps_2m_2022_dim_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2022_dim_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__rbd, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_rbd, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_rbd, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__rbd, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__rbd, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__rbd, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__rbd, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__rbd, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_rbd, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_rbd, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__rbd, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__rbd, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__rbd, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__rbd, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__rbd, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_rbd, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__rbd, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_rbd, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__rbd, simce_8b_2025__region"
grado,Grado en el que se rinde la evaluación,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__rbd, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_rbd, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_rbd, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__rbd, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__rbd, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__rbd, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__rbd, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__rbd, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_rbd, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_rbd, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__rbd, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__rbd, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__rbd, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__rbd, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__rbd, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_rbd, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__rbd, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_rbd, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__rbd, simce_8b_2025__region"
id_dimension,Dimensión del indicador,"idps_2m_2025_dim_idps, idps_2m_2025_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps_niveles"
id_indicador,Indicador,"idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles"
id_subdimension,Subdimensión,"idps_2m_2025_idps_niveles, idps_4b_2025_idps_niveles, idps_8b_2025_idps_niveles"
ind,Indicador,"idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles"
ind_am,Puntaje Indicador Autoestima académica y motivación escolar del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_cc,Puntaje Indicador Clima de Convivencia escolar del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_hv,Puntaje Indicador Habitos de vida saludable del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
ind_pf,Puntaje Indicador Participación y formación ciudadana del colegio,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_8b_2017_idps8b, idps_8b_2019_idps8b"
mdif,Marca de la diferencia con respecto a la evaluación anterior,"idps_2m_2025_idps, idps_4b_2025_idps, idps_8b_2025_idps"
mdifgru,Marca de la diferencia con respecto a la mismo GSE,"idps_2m_2025_idps, idps_4b_2025_idps, idps_8b_2025_idps"
niv_alto_por,Porcentaje de estudiantes en nivel alto,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_bajo_por,Porcentaje de estudiantes en nivel bajo,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_malto_por,"Marca Porcentaje nivel alto
","idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_mbajo_por,Marca Porcentaje nivel bajo,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_medio_por,Porcentaje de estudiantes en nivel medio,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
niv_mmedio_por,Marca Porcentaje nivel medio,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_2m_2025_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_4b_2025_idps_niveles, idps_6b_2024_idps_niveles, idps_8b_2025_idps_niveles"
nivel,Nivel,"idps_2m_2023_idps2m_niveles_final, idps_2m_2024_idps_niveles, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_idps_niveles, idps_6b_2024_idps_niveles"
nom_com_rbd,Nombre de la comunas del establecimiento año 2016,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
