rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
9,2017,4b,266.0,284.0,Medio,Urbano,Municipal,75.18810994988671,75.11879820222822,66.18155243615996,78.70608905979765
9,2017,8b,251.0,241.0,Medio,Urbano,Municipal,76.17039590132892,77.56939635925286,69.14671607711327,79.87296494281313
9,2018,6b,258.0,265.0,Medio,Urbano,Municipal,78.752730519,80.528551766,75.076532761,85.07373424
9,2019,8b,275.0,249.0,Medio,Urbano,Municipal,82.731578048,82.935383655,79.258842897,84.237751684
9,2022,4b,256.0,273.0,Medio,Urbano,SLEP,73.0,74.0,62.0,75.0
9,2023,4b,265.0,284.0,Medio alto,Urbano,SLEP,72.0,74.0,70.0,77.0
9,2024,4b,272.0,278.0,Medio alto,Urbano,SLEP,77.0,77.0,75.0,81.0
9,2024,6b,233.0,251.0,Medio alto,Urbano,SLEP,73.0,73.0,72.0,77.0
9,2025,4b,259.0,277.0,Medio alto,Urbano,SLEP,72.0,74.0,75.0,68.0
9,2025,8b,258.0,249.0,Medio alto,Urbano,SLEP,74.0,75.0,78.0,74.0
10,2016,4b,235.0,243.0,Medio bajo,Urbano,Municipal,82.0,79.0,73.0,84.0
10,2016,6b,204.0,202.0,Medio,Urbano,Municipal,68.0,86.0,62.0,99.0
10,2017,4b,237.0,250.0,Medio bajo,Urbano,Municipal,71.24615117180079,74.65972894372905,66.57964960119352,75.75181232894452
10,2017,8b,225.0,212.0,Medio bajo,Urbano,Municipal,73.43779025805101,72.41602259609411,70.28831250520243,73.35540669711816
10,2018,6b,204.0,194.0,Medio bajo,Urbano,Municipal,66.095896065,66.854435254,61.344523792,75.767407345
10,2019,8b,245.0,243.0,Medio,Urbano,Municipal,80.190687775,85.308490509,74.499125666,86.247132234
10,2022,4b,216.0,273.0,Medio,Urbano,SLEP,89.0,88.0,82.0,93.0
10,2023,4b,270.0,276.0,Medio,Urbano,SLEP,81.0,83.0,79.0,90.0
10,2024,4b,240.0,262.0,Medio bajo,Urbano,SLEP,83.0,78.0,74.0,87.0
10,2024,6b,229.0,247.0,Medio,Urbano,SLEP,79.0,77.0,68.0,82.0
10,2025,4b,249.0,282.0,Medio,Urbano,SLEP,77.0,75.0,78.0,70.0
10,2025,8b,228.0,219.0,Medio bajo,Urbano,SLEP,72.0,70.0,73.0,70.0
11,2016,4b,236.0,257.0,Medio bajo,Urbano,Municipal,73.0,69.0,63.0,70.0
11,2016,6b,214.0,237.0,Medio bajo,Urbano,Municipal,75.0,71.0,71.0,78.0
11,2017,4b,229.0,237.0,Medio bajo,Urbano,Municipal,73.41392799184052,70.713671553338,67.32910624671709,78.8554122254049
11,2017,8b,220.0,212.0,Medio bajo,Urbano,Municipal,72.01478977142463,63.43038621399409,64.19631199944624,75.18252843774043
11,2018,6b,225.0,235.0,Medio bajo,Urbano,Municipal,70.861871006,68.391602682,58.935795927,69.596017844
11,2019,8b,218.0,201.0,Medio bajo,Urbano,Municipal,74.479371141,69.863592058,65.459367527,74.961111844
11,2022,4b,263.0,283.0,Medio bajo,Urbano,SLEP,67.0,77.0,63.0,74.0
11,2023,4b,243.0,257.0,Medio bajo,Urbano,SLEP,83.0,83.0,76.0,88.0
11,2024,4b,238.0,249.0,Medio bajo,Urbano,SLEP,75.0,73.0,65.0,78.0
11,2024,6b,245.0,254.0,Medio bajo,Urbano,SLEP,74.0,77.0,72.0,81.0
11,2025,4b,216.0,255.0,Medio bajo,Urbano,SLEP,79.0,77.0,80.0,70.0
11,2025,8b,257.0,226.0,Medio bajo,Urbano,SLEP,73.0,73.0,80.0,74.0
12,2016,4b,284.0,279.0,Medio bajo,Urbano,Municipal,77.0,82.0,70.0,86.0
12,2016,6b,245.0,258.0,Medio bajo,Urbano,Municipal,77.0,83.0,65.0,86.0
12,2017,4b,275.0,299.0,Medio,Urbano,Municipal,73.72347941367025,83.58061108481397,70.87175771745855,81.65314493038798
12,2017,8b,234.0,253.0,Medio bajo,Urbano,Municipal,76.58414748914774,80.61039475340951,75.07502135422301,83.01242630665662
12,2018,6b,254.0,270.0,Medio,Urbano,Municipal,71.771236524,73.388000089,70.13034658,77.967255692
12,2019,8b,287.0,265.0,Medio bajo,Urbano,Municipal,77.053469866,80.978946072,72.084186269,84.703535731
12,2022,4b,232.0,259.0,Medio,Urbano,SLEP,74.0,74.0,67.0,76.0
12,2023,4b,261.0,261.0,Medio bajo,Urbano,SLEP,89.0,86.0,81.0,92.0
12,2024,4b,260.0,285.0,Medio,Urbano,SLEP,80.0,81.0,75.0,81.0
12,2024,6b,250.0,269.0,Medio,Urbano,SLEP,82.0,82.0,73.0,83.0
12,2025,4b,262.0,284.0,Medio,Urbano,SLEP,87.0,86.0,92.0,76.0
12,2025,8b,241.0,202.0,Medio,Urbano,SLEP,69.0,69.0,74.0,68.0
13,2016,4b,263.0,272.0,Medio bajo,Urbano,Municipal,84.0,84.0,75.0,86.0
13,2016,6b,218.0,233.0,Medio bajo,Urbano,Municipal,79.0,76.0,69.0,83.0
13,2017,4b,255.0,267.0,Medio bajo,Urbano,Municipal,78.82841889758659,79.23714260054273,71.84496316104048,83.76626609457475
13,2017,8b,231.0,220.0,Medio bajo,Urbano,Municipal,72.61451819809065,69.31550200547352,57.98424691667341,68.35561761568489
13,2018,6b,227.0,249.0,Medio bajo,Urbano,Municipal,74.636073295,79.380856365,67.907144667,82.916909343
13,2019,8b,238.0,209.0,Medio bajo,Urbano,Municipal,77.733184794,77.338455872,73.125875507,82.915293521
13,2022,4b,220.0,235.0,Medio bajo,Urbano,SLEP,82.0,85.0,76.0,88.0
13,2023,4b,239.0,263.0,Medio bajo,Urbano,SLEP,80.0,78.0,71.0,83.0
13,2024,4b,257.0,274.0,Medio bajo,Urbano,SLEP,86.0,85.0,76.0,88.0
13,2024,6b,211.0,223.0,Medio bajo,Urbano,SLEP,81.0,76.0,73.0,82.0
13,2025,4b,229.0,249.0,Medio bajo,Urbano,SLEP,82.0,81.0,85.0,72.0
13,2025,8b,245.0,228.0,Medio bajo,Urbano,SLEP,77.0,79.0,81.0,73.0
14,2016,4b,255.0,224.0,Medio bajo,Urbano,Municipal,71.0,74.0,61.0,74.0
14,2016,6b,234.0,230.0,Medio bajo,Urbano,Municipal,84.0,72.0,65.0,77.0
14,2017,4b,225.0,212.0,Medio bajo,Urbano,Municipal,74.30185622275022,75.4472262901953,62.48055485510508,77.45984757554852
14,2017,8b,234.0,212.0,Medio bajo,Urbano,Municipal,76.77302018122293,76.33165171355128,71.2986854252099,76.98612548799639
14,2018,6b,218.0,239.0,Medio bajo,Urbano,Municipal,75.129428869,74.027436878,65.897882379,81.979280126
14,2019,8b,234.0,221.0,Medio bajo,Urbano,Municipal,83.717772892,79.866159158,73.833971128,84.06484765
14,2022,4b,230.0,262.0,Bajo,Urbano,SLEP,79.0,79.0,70.0,86.0
14,2023,4b,253.0,256.0,Medio bajo,Urbano,SLEP,79.0,,77.0,84.0
14,2024,4b,254.0,274.0,Medio bajo,Urbano,SLEP,79.0,74.0,68.0,81.0
14,2024,6b,246.0,259.0,Bajo,Urbano,SLEP,78.0,77.0,73.0,83.0
14,2025,4b,257.0,277.0,Bajo,Urbano,SLEP,77.0,,81.0,70.0
14,2025,8b,253.0,228.0,Medio bajo,Urbano,SLEP,75.0,79.0,80.0,75.0
15,2016,2m,228.0,217.0,Medio bajo,Urbano,Municipal,65.0,69.0,73.0,68.0
15,2016,4b,226.0,242.0,Medio,Urbano,Municipal,73.0,82.0,72.0,85.0
15,2016,6b,209.0,234.0,Medio bajo,Urbano,Municipal,69.0,77.0,73.0,79.0
15,2017,2m,224.0,230.0,Medio,Urbano,Municipal,66.70724857476675,74.46140499806337,73.31081717221774,81.37992052433998
15,2017,4b,227.0,241.0,Medio,Urbano,Municipal,67.28050806928611,76.26475154710279,67.82867353927081,75.29043627622804
15,2017,8b,233.0,214.0,Medio bajo,Urbano,Municipal,67.90260401791595,69.45765205306779,70.25941009660323,72.88591552204583
15,2018,2m,233.0,223.0,Medio bajo,Urbano,Municipal,71.984137594,73.544394157,75.581875477,82.605657377
15,2018,6b,220.0,230.0,Medio,Urbano,Municipal,76.76431062,83.639213256,79.533458943,87.323923152
15,2019,8b,246.0,228.0,Medio,Urbano,Municipal,67.107742734,73.181182959,66.744573705,75.269250874
15,2022,2m,244.0,261.0,Medio,Urbano,SLEP,79.0,84.0,77.0,82.0
15,2022,4b,234.0,267.0,Medio alto,Urbano,SLEP,74.0,79.0,71.0,80.0
15,2023,2m,243.0,261.0,Medio,Urbano,SLEP,74.0,79.0,73.0,84.0
15,2023,4b,254.0,258.0,Medio alto,Urbano,SLEP,73.0,70.0,63.0,74.0
15,2024,2m,251.0,259.0,Medio,Urbano,SLEP,71.0,75.0,69.0,76.0
15,2024,4b,244.0,272.0,Medio,Urbano,SLEP,73.0,74.0,66.0,79.0
15,2024,6b,240.0,244.0,Medio alto,Urbano,SLEP,79.0,79.0,69.0,82.0
15,2025,2m,240.0,246.0,Medio,Urbano,SLEP,71.0,69.0,71.0,58.0
15,2025,4b,243.0,265.0,Medio alto,Urbano,SLEP,76.0,71.0,81.0,73.0
15,2025,8b,243.0,232.0,Medio alto,Urbano,SLEP,72.0,71.0,76.0,67.0
16,2016,4b,228.0,246.0,Medio bajo,Urbano,Municipal,77.0,79.0,67.0,72.0
16,2016,6b,210.0,224.0,Medio,Urbano,Municipal,74.0,69.0,64.0,73.0
16,2017,4b,254.0,248.0,Medio bajo,Urbano,Municipal,86.13524216102324,85.95916323370699,83.90741164461808,92.09891452770384
16,2017,8b,236.0,222.0,Medio bajo,Urbano,Municipal,79.49921376672451,72.96830560859613,69.23980730023797,77.21546926493423
16,2018,6b,214.0,230.0,Medio bajo,Urbano,Municipal,66.841459757,72.994412047,64.885404001,75.690024819
16,2019,8b,251.0,234.0,Medio,Urbano,Municipal,83.818639065,79.67114465,82.649018373,89.732925577
16,2022,4b,222.0,237.0,Medio bajo,Urbano,SLEP,76.0,77.0,67.0,80.0
16,2023,4b,226.0,242.0,Medio bajo,Urbano,SLEP,69.0,82.0,67.0,80.0
16,2024,4b,227.0,232.0,Medio bajo,Urbano,SLEP,71.0,76.0,72.0,83.0
16,2024,6b,209.0,212.0,Medio,Urbano,SLEP,73.0,75.0,68.0,79.0
16,2025,4b,249.0,247.0,Medio bajo,Urbano,SLEP,76.0,80.0,83.0,72.0
16,2025,8b,227.0,213.0,Medio bajo,Urbano,SLEP,79.0,82.0,86.0,80.0
17,2016,4b,232.0,240.0,Medio bajo,Urbano,Municipal,70.0,,64.0,71.0
17,2016,6b,253.0,241.0,Medio bajo,Urbano,Municipal,75.0,80.0,78.0,81.0
17,2017,4b,240.0,249.0,Medio bajo,Urbano,Municipal,76.55749965734573,69.91761761153089,68.4150466950321,80.82784069209228
17,2017,8b,248.0,251.0,Medio bajo,Urbano,Municipal,70.89100742834052,75.19155697924552,68.26255298269396,78.61250963095524
17,2018,6b,211.0,221.0,Medio bajo,Urbano,Municipal,71.918989916,79.311345791,73.860835741,83.429854778
17,2019,8b,247.0,238.0,Medio bajo,Urbano,Municipal,80.072971758,85.002006777,78.469390788,86.524447867
17,2022,4b,219.0,226.0,Medio bajo,Urbano,SLEP,77.0,73.0,69.0,81.0
17,2023,4b,259.0,274.0,Medio bajo,Urbano,SLEP,80.0,80.0,77.0,84.0
17,2024,4b,265.0,268.0,Medio bajo,Urbano,SLEP,82.0,79.0,76.0,86.0
17,2024,6b,204.0,212.0,Medio bajo,Urbano,SLEP,67.0,66.0,65.0,72.0
17,2025,4b,287.0,307.0,Medio bajo,Urbano,SLEP,86.0,84.0,92.0,79.0
17,2025,8b,238.0,223.0,Medio,Urbano,SLEP,73.0,73.0,78.0,75.0
18,2016,4b,212.0,195.0,Medio bajo,Urbano,Municipal,77.0,73.0,68.0,81.0
18,2016,6b,219.0,223.0,Medio bajo,Urbano,Municipal,72.0,74.0,62.0,79.0
18,2017,4b,261.0,271.0,Medio bajo,Urbano,Municipal,83.98980045586633,83.46978588630454,78.12763570201997,90.02027752579517
18,2017,8b,222.0,230.0,Medio bajo,Urbano,Municipal,69.48536613301346,73.1419321082543,69.76995620302489,73.60048109856031
18,2018,6b,267.0,256.0,Medio bajo,Urbano,Municipal,76.772937767,72.676672519,67.749643368,78.935964454
18,2019,8b,227.0,212.0,Medio bajo,Urbano,Municipal,72.269428745,72.856688591,68.245766877,73.324549235
18,2022,4b,210.0,230.0,Medio bajo,Urbano,SLEP,74.0,76.0,70.0,78.0
18,2023,4b,263.0,279.0,Medio bajo,Urbano,SLEP,85.0,82.0,75.0,89.0
18,2024,4b,267.0,271.0,Medio bajo,Urbano,SLEP,85.0,82.0,75.0,85.0
18,2024,6b,215.0,218.0,Medio bajo,Urbano,SLEP,75.0,71.0,66.0,78.0
18,2025,4b,244.0,267.0,Medio bajo,Urbano,SLEP,85.0,84.0,91.0,78.0
18,2025,8b,233.0,213.0,Medio bajo,Urbano,SLEP,84.0,80.0,88.0,82.0
19,2016,4b,226.0,259.0,Medio bajo,Urbano,Municipal,79.0,75.0,68.0,79.0
19,2016,6b,226.0,245.0,Medio bajo,Urbano,Municipal,74.0,77.0,64.0,79.0
