rbd,agno,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
257,2017,339.0,298.0,Alto,Urbano,Particular pagado,77.25577614365461,77.27228603481751,73.92799455148615,77.67635393439578
270,2017,290.0,256.0,Medio,Rural,Municipal,81.7854847607548,74.36365540667985,70.9338150689788,79.46584565216594
279,2017,219.0,220.0,Medio bajo,Urbano,Municipal,72.41342047975137,75.56823626746848,65.39861022742025,73.70140558179506
280,2017,229.0,233.0,Medio bajo,Urbano,Municipal,72.03723464098172,66.02716445980714,63.46814224510271,67.16914082854606
283,2017,219.0,256.0,Medio bajo,Urbano,Municipal,75.86482696437098,73.88502645517393,68.98505520296973,77.11812517800591
284,2017,222.0,220.0,Medio,Urbano,Municipal,74.71974217528208,74.53608044789694,71.65227920656011,78.26875079982962
285,2017,218.0,233.0,Medio,Urbano,Municipal,71.8808336884721,70.25777949586205,62.812142593936315,73.17467661512201
286,2017,194.0,200.0,Medio bajo,Urbano,Municipal,67.87446141282085,68.16079225141166,63.381797426312936,71.20889365567997
287,2017,226.0,241.0,Medio,Urbano,Municipal,70.82675195814221,71.30753183279822,66.38011174818602,74.25803028087098
304,2017,261.0,256.0,Medio alto,Urbano,Municipal,73.05716861005492,70.86012924657776,71.9758522433963,72.60617319485576
320,2017,208.0,218.0,Medio,Urbano,Municipal,74.81673513022659,72.28607720387267,66.13118788861885,75.69765973531776
329,2017,272.0,246.0,Medio,Urbano,Municipal,71.59894302115003,72.72962927343727,74.25672202305051,77.20734903467836
335,2017,241.0,221.0,Medio bajo,Urbano,Particular subvencionado,73.41940300687243,69.57770508333462,64.10816791346083,75.0345291561736
336,2017,267.0,238.0,Medio alto,Urbano,Particular subvencionado,68.31072275095842,69.65117576374838,60.11044584828906,74.49463626173426
337,2017,324.0,292.0,Medio alto,Urbano,Particular subvencionado,76.85374707858837,75.97238801662171,65.86101845185094,75.62732636603664
341,2017,291.0,283.0,Medio alto,Urbano,Particular subvencionado,75.94878514295115,80.65606232637093,77.00850057121934,77.41610845986081
342,2017,329.0,290.0,Medio alto,Urbano,Particular subvencionado,74.41530703114816,81.66654739966272,74.33642137179403,81.08855432402132
344,2017,299.0,283.0,Medio,Urbano,Particular subvencionado,78.7781610620605,83.43241051003031,76.04036498612382,82.98225978409236
350,2017,286.0,258.0,Medio,Urbano,Particular subvencionado,78.58326160759032,76.61409532259668,69.16827536150704,80.9836695228488
355,2017,286.0,246.0,Alto,Urbano,Particular pagado,71.08244843815467,71.69873553088712,65.33379944515924,65.69732937321658
356,2017,301.0,264.0,Medio alto,Urbano,Particular subvencionado,77.28582614975505,81.72545192877085,75.52046157753747,84.79082436009463
357,2017,329.0,293.0,Alto,Urbano,Particular pagado,75.64651992486979,74.52553360872369,69.16392153693542,79.93420637638611
358,2017,279.0,291.0,Alto,Urbano,Particular pagado,74.11787271477137,79.11861864073838,69.82329008405956,71.1670158705194
361,2017,331.0,295.0,Alto,Urbano,Particular pagado,77.21160410826552,80.03835297347253,75.47098169005722,76.11630657781184
364,2017,314.0,285.0,Alto,Urbano,Particular pagado,75.98505214173053,82.68375876036838,79.98735208636289,83.17153763041199
365,2017,294.0,257.0,Medio alto,Urbano,Particular subvencionado,74.11348683951061,72.80927112048938,64.79172817270096,72.34531294015467
366,2017,342.0,311.0,Alto,Urbano,Particular pagado,74.61082585471274,75.68947382285185,68.11497573864384,75.1899316871341
367,2017,214.0,239.0,Medio bajo,Urbano,Municipal,78.65263239474648,72.93687973584927,69.20266796052925,75.68726131477727
371,2017,200.0,234.0,Medio bajo,Rural,Municipal,70.47332646322529,72.44109674733144,73.04855279460448,76.0599863932313
372,2017,200.0,214.0,Medio bajo,Urbano,Municipal,73.05667835803976,67.0186724294806,62.336632364252786,72.1152952294854
373,2017,255.0,235.0,Medio,Urbano,Municipal,73.27869167161991,73.96599153215142,69.40960926030908,76.97501737423214
379,2017,214.0,228.0,Medio bajo,Urbano,Municipal,71.79384586694235,67.04429211556078,63.062937044918094,68.75780570865312
384,2017,250.0,244.0,Medio bajo,Urbano,Municipal,76.62111480445301,75.20793293240628,67.98182082179868,80.07206990805858
392,2017,250.0,235.0,Medio,Urbano,Particular subvencionado,72.61953218089008,63.81558548356996,72.12700638709299,68.91520219507377
396,2017,223.0,230.0,Medio bajo,Urbano,Municipal,72.38676703681563,71.76957449933819,61.41930732025161,73.47839589963894
399,2017,203.0,207.0,Medio bajo,Urbano,Municipal,70.46330940981325,69.3585049260772,63.103375479081386,69.59981620155179
400,2017,271.0,266.0,Medio bajo,Urbano,Municipal,72.88736478291548,77.52079495143857,67.05703698209932,77.47689034274445
415,2017,284.0,279.0,Medio,Urbano,Municipal,71.90500025975895,75.94240605765259,63.0375350913841,74.89703008057556
429,2017,290.0,255.0,Medio alto,Urbano,Particular subvencionado,73.18744351387869,71.75870770644688,70.43439583884158,74.31018311007261
430,2017,227.0,232.0,Medio bajo,Urbano,Particular subvencionado,76.20308203332873,78.87515688734051,76.51716865445577,80.62513370670308
431,2017,250.0,260.0,Medio,Urbano,Particular subvencionado,71.57990548068027,77.48522868157477,66.8954926800101,78.92575787452752
433,2017,246.0,248.0,Medio,Urbano,Particular subvencionado,72.54300037991041,77.21438568446564,68.63145103847317,77.6071241705072
437,2017,311.0,271.0,Medio,Urbano,Particular subvencionado,71.85935659244831,77.17449363510899,65.82799840778964,77.80388103675013
438,2017,211.0,223.0,Bajo,Urbano,Municipal,71.9788766374029,68.8876170345471,67.1425260051431,68.30858873136131
440,2017,248.0,254.0,Medio bajo,Urbano,Particular subvencionado,72.61662336192373,73.26021930515118,74.00291732947966,76.8253155427054
441,2017,183.0,208.0,Bajo,Urbano,Municipal,70.4041247067786,64.65114097042823,69.40526920442245,73.2577177148224
448,2017,212.0,232.0,Medio bajo,Urbano,Municipal,75.0749625996382,73.65064015275478,70.4222944686957,75.93633575274218
