agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2016|20171024|final20171024v1|4b|18|3|ESC. COMTE. JUAN JOSE SAN MARTIN|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|21|22|195|212|-41|-19|-59|-36|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||90.5|4.8000002|4.8000002|81.800003|9.1000004|9.1000004|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|19|1|ESC. HUMBERTO VALENZUELA GARCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|25|259|226|17|-18|5|-22|Positiva y significativa|Negativa y significativa|No significativa|Negativa y significativa|||||41.700001|20.799999|37.5|56|40|4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|20|5|ESCUELA TUCAPEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|38|40|242|226|-7|-1|-12|-22|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||55.299999|18.4|26.299999|70|27.5|2.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|22|1|ESCUELA GABRIELA MISTRAL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|89|93|232|230|-16|-6|-22|-18|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|||||61.799999|21.299999|16.9|66.699997|23.700001|9.6999998|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|25|6|COLEGIO CENTENARIO DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|34|36|249|223|-5|-29|-5|-25|No significativa|Negativa y significativa|No significativa|Negativa y significativa|||||50|20.6|29.4|63.900002|27.799999|8.3000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|26|4|ESCUELA REPUBLICA DE ARGENTINA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|11|11|319|264|25|-8|65|16|Positiva y significativa|No significativa|Positiva y significativa|Positiva y significativa|||||0|18.200001|81.800003|27.299999|63.599998|9.1000004|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|27|2|ESCUELA ESMERALDA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|12|12|248|257|-18|-4|-20|-7|No significativa|No significativa|Negativa y significativa|No significativa|Ajenas a la Agencia: Resultados no representativos|Ajenas a la Agencia: Resultados no representativos|Con marca en esta medición: No representativa|Con marca en esta medición: No representativa|41.700001|25|33.299999|41.700001|50|8.3000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|28|0|ESCUELA RICARDO SILVA ARRIAGADA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|30|30|271|263|5|-3|3|-1|No significativa|No significativa|No significativa|No significativa|||||33.299999|30|36.700001|30|50|20|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|29|9|ESCUELA AMERICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|42|41|233|235|2|-4|-21|-13|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||59.5|26.200001|14.3|61|31.700001|7.3000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|31|0|ESCUELA DARIO SALAS DIAZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|33|33|258|256|-8|-21|11|19|No significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|||||42.400002|21.200001|36.400002|39.400002|48.5|12.1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|32|9|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Rural|37|37|243|248|0|-11|-11|0|No significativa|No significativa|Negativa y significativa|No significativa|||||54.099998|29.700001|16.200001|48.599998|40.5|10.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|33|7|ESCUELA CARLOS CONDELL DE LA HAZA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Rural|14|15|281|293|9|-2|27|45|No significativa|No significativa|Positiva y significativa|Positiva y significativa||Ajenas al Establecimiento: Resultados no representativos||Con marca en esta medición: No representativa|0|57.099998|42.900002|6.6999998|40|53.299999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|35|3|ESCUELA GRAL. MANUEL BAQUEDANO|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Rural|7|8|246|258|27|43|-8|10|No significativa|Positiva y significativa|No significativa|No significativa|||||||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|36|1|ESCUELA IGNACIO CARRERA PINTO|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Urbano|20|19|246|235|25|12|-1|-2|Positiva y significativa|No significativa|No significativa|No significativa|||||50|25|25|68.400002|21.1|10.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|38|8|ESCUELA ESPAÑA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|39|39|275|267|24|18|28|30|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||30.799999|23.1|46.200001|38.5|30.799999|30.799999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|39|6|ESCUELA PAMPA ALGODONAL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Bajo|Rural|16|16|221|188|||||No significativa|No significativa|Negativa y significativa|Negativa y significativa|||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|75|12.5|12.5|87.5|12.5|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|41|8|ESCUELA VALLE DE CHACA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Rural|6|5|200|247|||-54||No significativa|No significativa|Negativa y significativa|No significativa|||Con marca medición anterior: No reporte|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|42|6|ESCUELA MOLINOS LLUTA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio alto|Rural|3|2|247|235|||||No significativa|No significativa|No significativa|No significativa|||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|45|0|COLEGIO ITALIANO SANTA ANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|63|64|290|273|-9|-18|22|9|No significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|||||17.5|20.6|61.900002|26.6|43.799999|29.700001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|50|7|COLEGIO ADVENTISTA DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|40|41|290|287|11|-3|22|23|No significativa|No significativa|Positiva y significativa|Positiva y significativa|||||12.5|27.5|60|7.3000002|51.200001|41.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|51|5|ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado||Urbano|||||||||||||||||||||||Cursos con 100% ausentes y sin cuestionarios
2016|20171024|final20171024v1|4b|52|3|LICEO DOMINGO SANTA MARIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio|Urbano|214|214|296|302|0|1|28|38|No significativa|No significativa|Positiva y significativa|Positiva y significativa|||||7|29.9|63.099998|9.8000002|33.200001|57|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|56|6|COLEGIO SAN MARCOS DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|59|55|299|277|23|9|16|-1|Positiva y significativa|No significativa|Positiva y significativa|No significativa|||||6.8000002|27.1|66.099998|20|49.099998|30.9|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|59|0|COLEGIO SAN JORGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|39|36|306|301|5|-2|5|1|No significativa|No significativa|No significativa|No significativa|||||12.8|12.8|74.400002|11.1|38.900002|50|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|60|4|COLEGIO ALEMAN DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|52|52|292|276|17|3|9|-2|Positiva y significativa|No significativa|Positiva y significativa|No significativa|||||11.5|25|63.5|15.4|57.700001|26.9|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|67|1|ABRAHAM LINCOLN SCHOOL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|54|56|265|266|-18|-33|-18|-12|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||27.799999|38.900002|33.299999|26.799999|51.799999|21.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|69|8|JUNIOR COLLEGE|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Particular pagado|Particular pagado|Alto|Urbano|54|54|299|295|-20|-7|-2|-5|Negativa y significativa|No significativa|No significativa|No significativa|||||7.4000001|33.299999|59.299999|11.1|35.200001|53.700001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|70|1|ESCUELA VALLE DE ESQUINA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|72|8|LICEO  VALLE DE CODPA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Bajo|Rural|5|5|264|211|||||No significativa|No significativa|No significativa|No significativa|||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|73|6|ESCUELA VALLE DE COBIJA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|75|2|ESCUELA VALLE DE GUANACAGUA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|ARICA|Municipal DAEM|Municipal|Bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|78|7|LICEO GRANADEROS|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal|Medio bajo|Rural|18|18|209|196|-45|-33|-45|-52|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||77.800003|11.1|11.1|88.900002|11.1|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|79|5|ESCUELA EL MARQUEZ|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal|Bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|81|7|ESCUELA PAYACHATAS|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal||Rural|||||||||||||||||||||||Cursos con 100% ausentes y sin cuestionarios
2016|20171024|final20171024v1|4b|84|1|ESCUELA LOS ALAMOS|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal|Medio bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|86|8|ESCUELA SAN SANTIAGO DE BELEN|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15201|PUTRE|PARINACOTA|Municipal DAEM|Municipal|Bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|87|6|ESCUELA ANCOLACANE|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15202|GENERAL LAGOS|PARINACOTA|Municipal DAEM|Municipal|Bajo|Rural|0|1||||||||No significativa||No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|90|6|ESCUELA INTERNADO VISVIRI|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15202|GENERAL LAGOS|PARINACOTA|Municipal DAEM|Municipal|Medio|Rural|2|2|262|207|||||No significativa|No significativa|No significativa|No significativa|||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|93|0|ESCUELA CHUJLLUTA|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15202|GENERAL LAGOS|PARINACOTA|Municipal DAEM|Municipal|Medio bajo|Rural|1|1|||||||No significativa|No significativa|No significativa|No significativa|Alumnos insuficientes|Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|103|1|ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|36|36|264|223|24|1|-4|-41|Positiva y significativa|No significativa|No significativa|Negativa y significativa|||||33.299999|30.6|36.099998|63.900002|33.299999|2.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|110|4|LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|68|67|262|254|5|22|-6|-10|No significativa|Positiva y significativa|Negativa y significativa|Negativa y significativa|||||32.400002|35.299999|32.400002|38.799999|43.299999|17.9|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|111|2|ESCUELA GABRIELA MISTRAL|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|30|31|268|260|20|22|0|-4|Positiva y significativa|Positiva y significativa|No significativa|No significativa|||||30|26.700001|43.299999|35.5|38.700001|25.799999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|112|0|ESCUELA EDUARDO LLANOS|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio bajo|Urbano|53|52|242|232|-14|-11|-12|-16|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|||||52.799999|26.4|20.799999|57.700001|36.5|5.8000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|113|9|ESCUELA ALMIRANTE PATRICIO LYNCH|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|88|91|251|239|3|23|-17|-25|No significativa|Positiva y significativa|Negativa y significativa|Negativa y significativa|||||43.200001|27.299999|29.5|60.400002|33|6.5999999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|114|7|ESCUELA PLACIDO VILLARROEL|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|58|57|237|217|3|-5|-31|-47|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||50|32.799999|17.200001|78.900002|19.299999|1.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|116|3|COLEGIO REPUBLICA DE CROACIA|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio bajo|Urbano|48|52|250|250|8|14|-4|2|No significativa|Positiva y significativa|No significativa|No significativa|||||52.099998|14.6|33.299999|48.099998|28.799999|23.1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|117|1|ESCUELA PAULA JARAQUEMADA ALQUIZAR|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio|Urbano|23|24|266|239|5|-6|-2|-25|No significativa|No significativa|No significativa|Negativa y significativa|||||34.799999|21.700001|43.5|62.5|29.200001|8.3000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|119|8|ESCUELA CENTENARIO|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|IQUIQUE|Corporación Municipal|Municipal|Medio bajo|Urbano|26|26|255|278|5|38|1|30|No significativa|Positiva y significativa|No significativa|Positiva y significativa|||||42.299999|30.799999|26.9|19.200001|46.200001|34.599998|Rbd y curso rinde Simce
