cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect6b_deprov;prom_mate6b_deprov;dif_lect6b_deprov;dif_mate6b_deprov;sigdif_lect6b_deprov;sigdif_mate6b_deprov;fecha_bbdd;codigo_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;246;239;-4;-10;0;-1;20250422;preliminar20240422v1;6b;2024
1;Región de Tarapacá;14;Tamarugal;234;226;-5;-8;0;-1;20250422;preliminar20240422v1;6b;2024
2;Región de Antofagasta;21;Antofagasta;248;239;1;-6;0;0;20250422;preliminar20240422v1;6b;2024
2;Región de Antofagasta;22;El Loa;249;240;-2;-9;0;-1;20250422;preliminar20240422v1;6b;2024
3;Región de Atacama;31;Copiapo - Chanaral;239;229;-5;-12;0;-1;20250422;preliminar20240422v1;6b;2024
3;Región de Atacama;32;Huasco - Vallenar;246;237;2;-4;0;0;20250422;preliminar20240422v1;6b;2024
4;Región de Coquimbo;41;Elqui;247;242;-3;-9;0;-1;20250422;preliminar20240422v1;6b;2024
4;Región de Coquimbo;42;Limari;248;239;-2;-7;0;-1;20250422;preliminar20240422v1;6b;2024
4;Región de Coquimbo;43;Choapa;244;230;1;-6;0;0;20250422;preliminar20240422v1;6b;2024
5;Región de Valparaíso;51;Quillota - Petorca;240;235;-3;-8;0;-1;20250422;preliminar20240422v1;6b;2024
5;Región de Valparaíso;52;San Felipe - Los Andes;245;237;-4;-7;0;-1;20250422;preliminar20240422v1;6b;2024
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;242;241;-5;-9;-1;-1;20250422;preliminar20240422v1;6b;2024
5;Región de Valparaíso;54;San Antonio;243;233;-4;-10;0;-1;20250422;preliminar20240422v1;6b;2024
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;247;243;-1;-6;0;-1;20250422;preliminar20240422v1;6b;2024
6;Región del Libertador Bernardo O'higgins;62;Colchagua;249;244;-1;-6;0;0;20250422;preliminar20240422v1;6b;2024
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;242;236;-4;-6;0;0;20250422;preliminar20240422v1;6b;2024
7;Región del Maule;71;Curico;254;250;0;-4;0;0;20250422;preliminar20240422v1;6b;2024
7;Región del Maule;72;Talca;252;250;0;-5;0;0;20250422;preliminar20240422v1;6b;2024
7;Región del Maule;73;Linares;247;243;-2;-5;0;0;20250422;preliminar20240422v1;6b;2024
7;Región del Maule;74;Cauquenes;248;241;-6;-12;0;-1;20250422;preliminar20240422v1;6b;2024
8;Región del Biobío;82;Bio Bio;246;240;-3;-8;0;-1;20250422;preliminar20240422v1;6b;2024
8;Región del Biobío;83;Concepcion;250;247;-1;-6;0;-1;20250422;preliminar20240422v1;6b;2024
8;Región del Biobío;84;Arauco;245;238;-4;-7;0;-1;20250422;preliminar20240422v1;6b;2024
9;Región de La Araucanía;91;Malleco;241;236;-1;-2;0;0;20250422;preliminar20240422v1;6b;2024
9;Región de La Araucanía;92;Cautin Norte;245;239;-5;-8;0;-1;20250422;preliminar20240422v1;6b;2024
9;Región de La Araucanía;93;Cautin Sur;244;236;-6;-5;-1;0;20250422;preliminar20240422v1;6b;2024
10;Región de Los Lagos;101;Llanquihue;248;243;-2;-7;0;-1;20250422;preliminar20240422v1;6b;2024
10;Región de Los Lagos;102;Chiloe;248;240;1;-6;0;0;20250422;preliminar20240422v1;6b;2024
10;Región de Los Lagos;103;Osorno;250;244;1;-8;0;-1;20250422;preliminar20240422v1;6b;2024
10;Región de Los Lagos;104;Palena;240;241;14;7;1;0;20250422;preliminar20240422v1;6b;2024
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;248;240;5;-1;0;0;20250422;preliminar20240422v1;6b;2024
12;Región de Magallanes y de la Antártica C;121;Magallanes;249;246;-2;-2;0;0;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;131;Centro;256;251;2;-4;0;0;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;132;Sur;247;240;5;-5;0;0;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;133;Oriente;271;278;3;-1;0;0;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;134;Poniente;247;241;0;-9;0;-1;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;135;Talagante;248;243;2;-3;0;0;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;136;Cordillera;250;246;1;-7;0;-1;20250422;preliminar20240422v1;6b;2024
13;Región metropolitana de santiago;137;Norte;253;249;3;-6;0;-1;20250422;preliminar20240422v1;6b;2024
14;Región de los ríos;141;Valdivia;246;240;-5;-7;0;-1;20250422;preliminar20240422v1;6b;2024
14;Región de los ríos;142;Ranco;246;240;-2;-1;0;0;20250422;preliminar20240422v1;6b;2024
15;Región de arica y parinacota;151;Arica;250;245;-5;-11;0;-1;20250422;preliminar20240422v1;6b;2024
15;Región de arica y parinacota;152;Parinacota;228;228;26;25;1;1;20250422;preliminar20240422v1;6b;2024
16;Región de Ñuble;161;Diguillín;249;244;0;-5;0;0;20250422;preliminar20240422v1;6b;2024
