agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_soc6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_soc6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_soc6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_soc6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_soc6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_soc6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_soc6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_soc6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica
2016|20171024|final20171024v1|6b|22433|2|ESCUELA PARTICULAR PUERTO ESPERANZA|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10106|LOS MUERMOS|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Bajo|Rural|10|11|10|282|168|317|30|-123|57|50|-59|90|Positiva y significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|Negativa y significativa|Positiva y significativa|||||||0|30|70|90.900002|9.1000004|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22434|0|COLEGIO DOMINGO SANTA MARIA|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Medio|Urbano|162|170|163|259|289|278|-28|-20|-14|9|36|29|Negativa y significativa|Negativa y significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||30.200001|33.299999|36.400002|7.5999999|39.400002|52.900002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22436|7|THE MISSION COLLEGE|10|REGION DE LOS LAGOS|3|OSORNO|10301|OSORNO|OSORNO|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|113|115|112|259|251|244|31|-14|16|24|17|11|Positiva y significativa|Negativa y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||26.5|38.900002|34.5|24.299999|59.099998|16.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22439|1|COLEGIO TERRA NOVA|10|REGION DE LOS LAGOS|2|CHILOÉ|10207|QUEILÉN|CHILOÉ|Particular subvencionado|Particular subvencionado|Bajo|Rural|14|13|14|258|234|262|25|15|17|26|7|35|Positiva y significativa|No significativa|No significativa|Positiva y significativa|No significativa|Positiva y significativa|||||||21.4|57.099998|21.4|30.799999|61.5|7.6999998|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22444|8|ESCUELA LLEQUEN|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|CHILOÉ|Particular subvencionado|Particular subvencionado|Bajo|Urbano|5|5|7|273|311|267|||11|||40|No significativa|No significativa|No significativa|No significativa|No significativa|Positiva y significativa|Ajenas al Establecimiento: Resultados no representativos|Ajenas al Establecimiento: Resultados no representativos|Ajenas al Establecimiento: Resultados no representativos|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Con marca en esta medición: No representativa|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22448|0|ESCUELA PARTICULAR EL CARDO|14|REGION DE LOS RIOS|1|VALDIVIA|14107|PAILLACO|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Rural|2|2|0|258|250||||||||No significativa|No significativa||No significativa|No significativa||||Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22451|0|ESCUELA PARTICULAR LA PRADERA|10|REGION DE LOS LAGOS|3|OSORNO|10307|SAN PABLO|OSORNO|Particular subvencionado|Particular subvencionado|Bajo|Rural|2|4|0|201|218||||||||No significativa|No significativa||No significativa|No significativa||||Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22452|9|COLEGIO MOUNTAIN GREEN SCHOOL|14|REGION DE LOS RIOS|1|VALDIVIA|14108|PANGUIPULLI|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Rural|15|11|14|230|246|246|-1|3|9|-2|19|19|No significativa|No significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|||||||53.299999|26.700001|20|36.400002|54.5|9.1000004|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22456|1|COLEGIO SAN PABLO|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|CHILOÉ|Particular subvencionado|Particular subvencionado|Medio|Urbano|17|18|17|303|314|288||38|||61||No significativa|Positiva y significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa||||Alumnos insuficientes para comparación||Alumnos insuficientes para comparación|0|17.6|82.400002|0|11.1|88.900002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22459|6|COLEGIO LAICO VALDIVIA|14|REGION DE LOS RIOS|1|VALDIVIA|14101|VALDIVIA|VALDIVIA|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|20|20|21|255|247|257|-16|-10|-2|-10|-26|-9|Negativa y significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|No significativa|||||||25|40|35|35|50|15|Rbd y curso rinde Simce
