rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
17,2017,4b,240.0,249.0,Medio bajo,Urbano,Municipal,76.55749965734573,69.91761761153089,68.4150466950321,80.82784069209228
17,2022,4b,219.0,226.0,Medio bajo,Urbano,SLEP,77.0,73.0,69.0,81.0
17,2023,4b,259.0,274.0,Medio bajo,Urbano,SLEP,80.0,80.0,77.0,84.0
17,2024,4b,265.0,268.0,Medio bajo,Urbano,SLEP,82.0,79.0,76.0,86.0
17,2025,4b,287.0,307.0,Medio bajo,Urbano,SLEP,86.0,84.0,92.0,79.0
18,2016,4b,212.0,195.0,Medio bajo,Urbano,Municipal,77.0,73.0,68.0,81.0
18,2017,4b,261.0,271.0,Medio bajo,Urbano,Municipal,83.98980045586633,83.46978588630454,78.12763570201997,90.02027752579517
18,2022,4b,210.0,230.0,Medio bajo,Urbano,SLEP,74.0,76.0,70.0,78.0
18,2023,4b,263.0,279.0,Medio bajo,Urbano,SLEP,85.0,82.0,75.0,89.0
18,2024,4b,267.0,271.0,Medio bajo,Urbano,SLEP,85.0,82.0,75.0,85.0
18,2025,4b,244.0,267.0,Medio bajo,Urbano,SLEP,85.0,84.0,91.0,78.0
19,2016,4b,226.0,259.0,Medio bajo,Urbano,Municipal,79.0,75.0,68.0,79.0
19,2017,4b,236.0,249.0,Medio bajo,Urbano,Municipal,70.03188448570678,72.44869544016947,65.79799450423734,76.1959854825853
19,2022,4b,248.0,290.0,Medio bajo,Urbano,SLEP,81.0,80.0,78.0,86.0
19,2023,4b,246.0,268.0,Medio bajo,Urbano,SLEP,81.0,78.0,73.0,83.0
19,2024,4b,252.0,261.0,Medio bajo,Urbano,SLEP,76.0,70.0,77.0,80.0
19,2025,4b,248.0,242.0,Medio bajo,Urbano,SLEP,77.0,74.0,81.0,75.0
20,2016,4b,226.0,242.0,Medio bajo,Urbano,Municipal,71.0,73.0,69.0,81.0
20,2017,4b,244.0,258.0,Medio bajo,Urbano,Municipal,72.71863067702593,69.4938693269615,67.68034843164375,77.63918266923758
20,2022,4b,235.0,252.0,Medio bajo,Urbano,SLEP,79.0,77.0,77.0,85.0
20,2023,4b,245.0,250.0,Medio,Urbano,SLEP,80.0,77.0,75.0,84.0
20,2024,4b,265.0,276.0,Medio bajo,Urbano,SLEP,77.0,74.0,72.0,80.0
20,2025,4b,240.0,241.0,Bajo,Urbano,SLEP,77.0,75.0,77.0,72.0
22,2016,4b,230.0,232.0,Medio bajo,Urbano,Municipal,71.0,72.0,66.0,74.0
22,2017,4b,236.0,242.0,Medio bajo,Urbano,Municipal,74.88295197812029,73.3033447155597,64.40501934599446,77.37268811507707
