rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
45,2024,2m,344.0,287.0,Medio,Urbano,Particular subvencionado,81.0,84.0,74.0,85.0
45,2025,2m,324.0,285.0,Medio,Urbano,Particular subvencionado,79.0,82.0,82.0,76.0
50,2016,2m,309.0,285.0,Medio,Urbano,Particular subvencionado,75.0,84.0,84.0,82.0
50,2017,2m,298.0,276.0,Medio,Urbano,Particular subvencionado,77.13283010364982,82.35781801798721,79.99731265664897,79.97046842459619
50,2018,2m,306.0,271.0,Medio,Urbano,Particular subvencionado,75.450745378,77.748361283,76.600254464,75.482915177
50,2022,2m,293.0,274.0,Medio,Urbano,Particular subvencionado,73.0,77.0,76.0,78.0
50,2023,2m,285.0,267.0,Medio,Urbano,Particular subvencionado,72.0,77.0,80.0,81.0
50,2024,2m,303.0,262.0,Medio bajo,Urbano,Particular subvencionado,71.0,74.0,77.0,77.0
50,2025,2m,315.0,267.0,Medio,Urbano,Particular subvencionado,73.0,79.0,80.0,77.0
52,2016,2m,289.0,260.0,Medio bajo,Urbano,Particular subvencionado,75.0,74.0,68.0,77.0
52,2017,2m,277.0,270.0,Medio bajo,Urbano,Particular subvencionado,74.95765976507404,76.19691237475388,64.47537763714496,74.99719410280429
52,2018,2m,271.0,249.0,Medio bajo,Urbano,Particular subvencionado,74.224424345,75.236476145,67.034605313,73.857232183
52,2022,2m,252.0,244.0,Medio bajo,Urbano,Particular subvencionado,74.0,74.0,70.0,74.0
52,2023,2m,269.0,257.0,Medio bajo,Urbano,Particular subvencionado,72.0,74.0,75.0,74.0
52,2024,2m,270.0,238.0,Medio bajo,Urbano,Particular subvencionado,72.0,73.0,74.0,74.0
52,2025,2m,280.0,252.0,Medio bajo,Urbano,Particular subvencionado,73.0,76.0,77.0,75.0
56,2016,2m,323.0,295.0,Medio alto,Urbano,Particular subvencionado,77.0,76.0,69.0,78.0
56,2017,2m,302.0,274.0,Medio alto,Urbano,Particular subvencionado,74.91430187921556,72.63034355001,68.52246151138824,79.38708962732642
56,2018,2m,291.0,264.0,Medio alto,Urbano,Particular subvencionado,72.31570951,71.585846886,68.297656447,74.759337969
56,2022,2m,294.0,265.0,Medio alto,Urbano,Particular subvencionado,79.0,78.0,77.0,84.0
56,2023,2m,302.0,282.0,Medio alto,Urbano,Particular subvencionado,73.0,76.0,73.0,78.0
56,2024,2m,274.0,256.0,Medio alto,Urbano,Particular subvencionado,71.0,76.0,71.0,79.0
56,2025,2m,300.0,280.0,Medio alto,Urbano,Particular subvencionado,68.0,71.0,74.0,69.0
59,2016,2m,309.0,285.0,Alto,Urbano,Particular pagado,72.0,69.0,72.0,76.0
59,2017,2m,318.0,291.0,Alto,Urbano,Particular pagado,72.83391859533651,68.87419425691364,76.40585227996038,75.94082628036875
59,2018,2m,285.0,264.0,Alto,Urbano,Particular pagado,74.037271355,74.836505971,74.595534726,76.642119035
59,2022,2m,260.0,243.0,Alto,Urbano,Particular pagado,74.0,71.0,64.0,72.0
59,2023,2m,275.0,290.0,Alto,Urbano,Particular pagado,76.0,76.0,69.0,81.0
59,2024,2m,306.0,274.0,Alto,Urbano,Particular pagado,77.0,75.0,71.0,77.0
59,2025,2m,281.0,259.0,Alto,Urbano,Particular pagado,75.0,80.0,82.0,75.0
60,2016,2m,307.0,228.0,Medio alto,Urbano,Particular subvencionado,75.0,74.0,62.0,75.0
60,2017,2m,304.0,269.0,Medio,Urbano,Particular subvencionado,71.90937280061522,70.60467108617031,69.37193869887281,73.30699614116085
60,2018,2m,309.0,272.0,Medio,Urbano,Particular subvencionado,75.73403687,82.32226408,76.239175818,81.212715003
60,2022,2m,271.0,260.0,Medio alto,Urbano,Particular subvencionado,73.0,80.0,74.0,78.0
60,2023,2m,325.0,278.0,Medio,Urbano,Particular subvencionado,79.0,84.0,76.0,84.0
60,2024,2m,314.0,253.0,Medio,Urbano,Particular subvencionado,75.0,75.0,74.0,78.0
60,2025,2m,283.0,250.0,Medio alto,Urbano,Particular subvencionado,70.0,74.0,75.0,68.0
67,2016,2m,278.0,255.0,Medio alto,Urbano,Particular subvencionado,72.0,79.0,65.0,73.0
67,2017,2m,287.0,270.0,Medio alto,Urbano,Particular subvencionado,66.88587773586673,71.36021291375171,74.69252464814215,73.02855137914656
67,2018,2m,271.0,268.0,Medio alto,Urbano,Particular subvencionado,79.23345952,72.926448969,72.470560472,72.476168683
67,2022,2m,268.0,262.0,Medio alto,Urbano,Particular subvencionado,74.0,75.0,72.0,78.0
67,2023,2m,254.0,256.0,Medio alto,Urbano,Particular subvencionado,69.0,74.0,69.0,74.0
67,2024,2m,250.0,251.0,Medio alto,Urbano,Particular subvencionado,73.0,75.0,72.0,76.0
67,2025,2m,236.0,236.0,Medio alto,Urbano,Particular subvencionado,65.0,69.0,67.0,57.0
69,2016,2m,343.0,299.0,Alto,Urbano,Particular pagado,77.0,76.0,67.0,78.0
69,2017,2m,342.0,303.0,Alto,Urbano,Particular pagado,78.39904594468717,79.02671089567104,67.46624317177688,79.58086709390871
69,2018,2m,335.0,290.0,Alto,Urbano,Particular pagado,72.285963933,71.931037886,69.253078051,73.599270652
69,2022,2m,340.0,292.0,Alto,Urbano,Particular pagado,76.0,77.0,70.0,73.0
69,2023,2m,309.0,271.0,Alto,Urbano,Particular pagado,77.0,73.0,68.0,74.0
69,2024,2m,365.0,302.0,Alto,Urbano,Particular pagado,76.0,76.0,67.0,76.0
69,2025,2m,360.0,302.0,Alto,Urbano,Particular pagado,78.0,79.0,80.0,70.0
72,2016,2m,204.0,214.0,Bajo,Rural,Municipal,57.0,65.0,60.0,69.0
72,2017,2m,179.0,212.0,Medio,Rural,Municipal,68.27385089908934,70.41406596275334,72.91885121581133,76.16784819747342
72,2018,2m,203.0,225.0,Medio,Rural,Municipal,73.40667422,76.018652256,75.97829067,74.911693366
72,2022,2m,237.0,241.0,Bajo,Rural,SLEP,76.0,86.0,76.0,87.0
72,2023,2m,163.0,182.0,Medio,Rural,SLEP,89.0,87.0,84.0,93.0
72,2024,2m,226.0,222.0,Medio alto,Rural,SLEP,79.0,78.0,78.0,86.0
72,2025,2m,243.0,248.0,Medio alto,Rural,SLEP,81.0,75.0,84.0,77.0
78,2016,2m,202.0,235.0,Bajo,Rural,Municipal,73.0,72.0,69.0,74.0
78,2017,2m,207.0,223.0,Medio bajo,Rural,Municipal,72.96677406810996,76.25070933491679,72.07996071766512,82.51044394059817
78,2018,2m,229.0,238.0,Bajo,Rural,Municipal,79.75064762,75.861478586,64.030005443,80.118586291
78,2022,2m,194.0,229.0,Bajo,Rural,SLEP,79.0,78.0,81.0,87.0
78,2023,2m,220.0,214.0,Medio bajo,Rural,SLEP,74.0,73.0,75.0,79.0
78,2024,2m,224.0,243.0,Medio bajo,Rural,SLEP,78.0,,77.0,81.0
78,2025,2m,214.0,237.0,Bajo,Rural,SLEP,67.0,66.0,70.0,73.0
97,2016,2m,213.0,239.0,Medio bajo,Urbano,Municipal,71.0,70.0,61.0,70.0
97,2017,2m,211.0,229.0,Medio bajo,Urbano,Municipal,69.97698275330451,71.9669022230415,63.41990698872782,71.92399142840091
